"","x"
"1","HBB"
"2","IGKV3-20"
"3","IGLV2-14"
"4","IGKV1-5"
"5","IGKV3-11"
"6","IGKV3-15"
"7","IGLV1-40"
"8","IGKV4-1"
"9","HBA2"
"10","IGHV3-7"
"11","HBA1"
"12","IGLV1-51"
"13","IGHV5-51"
"14","IGHV3-23"
"15","IGLV1-44"
"16","IGLV3-19"
"17","IGLV3-25"
"18","IGHV3-21"
"19","IGHV4-39"
"20","IGHV1-3"
"21","IGLV2-23"
"22","IGHV3-30"
"23","IGHV1-18"
"24","IGHV1-46"
"25","IGHV3-15"
"26","TRBV7-2"
"27","IGHV3-11"
"28","IGLV1-47"
"29","S100A9"
"30","LYPD2"
"31","IGLV4-69"
"32","IGLV2-11"
"33","IGHV1-69D"
"34","S100A8"
"35","IGKV1-8"
"36","IGKV2-30"
"37","C1QB"
"38","IGHV5-10-1"
"39","IGKV1-16"
"40","FCER1A"
"41","IGLV2-8"
"42","C1QA"
"43","IGKV2-29"
"44","TRBV4-1"
"45","IGHV4-4"
"46","TRBV12-4"
"47","TRBV7-3"
"48","IGHV2-5"
"49","IGHV3-33"
"50","GNLY"
"51","GZMB"
"52","MYOM2"
"53","SPON2"
"54","PRF1"
"55","NKG7"
"56","CLIC3"
"57","CST7"
"58","FGFBP2"
"59","CTSW"
"60","KLRD1"
"61","GZMA"
"62","HOPX"
"63","KLRF1"
"64","CD247"
"65","LDHB"
"66","TCF7"
"67","LTB"
"68","MAL"
"69","LEF1"
"70","IL7R"
"71","CD3D"
"72","CCR7"
"73","CD3G"
"74","NOSIP"
"75","AQP3"
"76","CAMK4"
"77","CD27"
"78","CD3E"
"79","FLT3LG"
"80","CD8B"
"81","CD8A"
"82","GZMK"
"83","TRAV1-2"
"84","LINC02446"
"85","IL32"
"86","DUSP2"
"87","LYAR"
"88","KLRG1"
"89","CCL5"
"90","NELL2"
"91","LYZ"
"92","FOS"
"93","CST3"
"94","AIF1"
"95","LST1"
"96","SERPINA1"
"97","FCN1"
"98","S100A12"
"99","SAT1"
"100","TYMP"
"101","NEAT1"
"102","SPI1"
"103","VCAN"
"104","CD79A"
"105","MS4A1"
"106","TCL1A"
"107","CD74"
"108","HLA-DRA"
"109","CD79B"
"110","IGHM"
"111","HLA-DQA2"
"112","FCER2"
"113","BANK1"
"114","HLA-DPB1"
"115","HLA-DRB5"
"116","FAM129C"
"117","LINC00926"
"118","HLA-DPA1"
"119","IGHG2"
"120","IGHG1"
"121","JCHAIN"
"122","RALGPS2"
"123","IGKC"
"124","CLEC10A"
"125","LILRA4"
"126","PLD4"
"127","HLA-DQA1"
"128","CPVL"
"129","ITM2C"
"130","HLA-DQB1"
"131","CD4"
"132","NCAM1"
"133","CD19"
"134","CD14"
"135","ITGAX"
"136","FCGR3A"
"137","NECTIN2"
"138","ITGAL"
"139","IL3RA"
"140","FUT4"
"141","PVR"
"142","KIR3DL1"
"143","CD163"
"144","SIGLEC1"
"145","ITGB2"
"146","CCR3"
"147","CCR4"
"148","CCR6"
"149","CD1C"
"150","CD2"
"151","CR2"
"152","CD22"
"153","CD226"
"154","CD244"
"155","IL2RA"
"156","TNFRSF13C"
"157","ICOS"
"158","PDCD1"
"159","ITGB1"
"160","LAIR1"
"161","PECAM1"
"162","KLRK1"
"163","FCGR2A"
"164","SIGLEC7"
"165","CD33"
"166","NCR1"
"167","NCR3"
"168","CR1"
"169","CD36"
"170","HAVCR2"
"171","CD38"
"172","ENTPD1"
"173","ITGA2B"
"174","PTPRC"
"175","CD47"
"176","ITGA2"
"177","ITGA4"
"178","ITGA6"
"179","CD5"
"180","CD52"
"181","ICAM1"
"182","B3GAT1"
"183","SELL"
"184","SELP"
"185","FCGR1A"
"186","CD69"
"187","CD7"
"188","TFRC"
"189","NT5E"
"190","FAS"
"191","CD96"
"192","CLEC12A"
"193","IGHD"
"194","TRDV2"
"195","TRAC"
"196","TIGIT"
"197","CXCR3"
"198","CXCR5"
"199","CD24"
"200","THBD"
"201","FCGR2B"
"202","TRBC1"
"203","TRBC2"
"204","FCER1G"
"205","VEGFA"
"206","VEGFB"
