"","x"
"1","CCL5"
"2","CD8A"
"3","CD8B"
"4","GZMH"
"5","NKG7"
"6","CST7"
"7","GZMK"
"8","GZMA"
"9","CTSW"
"10","DUSP2"
"11","GNLY"
"12","GZMM"
"13","IL32"
"14","LYAR"
"15","CD3E"
"16","CD3D"
"17","CD3G"
"18","FGFBP2"
"19","CMC1"
"20","C12orf75"
"21","KLRD1"
"22","KLRG1"
"23","GZMB"
"24","SYNE2"
"25","HOPX"
"26","IFITM1"
"27","LITAF"
"28","CD99"
"29","HCST"
"30","TUBA4A"
"31","LTB"
"32","IL7R"
"33","MAL"
"34","NOSIP"
"35","LDHB"
"36","TCF7"
"37","FLT3LG"
"38","LEPROTL1"
"39","LEF1"
"40","SARAF"
"41","PIK3IP1"
"42","ZFP36L2"
"43","TNFAIP3"
"44","JUNB"
"45","RCAN3"
"46","CAMK4"
"47","RPS12"
"48","C12orf57"
"49","CCR7"
"50","DNAJB1"
"51","GIMAP7"
"52","INPP4B"
"53","RPSA"
"54","ARHGAP15"
"55","LINC00861"
"56","AQP3"
"57","NPM1"
"58","EEF1B2"
"59","S100A8"
"60","S100A9"
"61","LYZ"
"62","S100A12"
"63","FCN1"
"64","AIF1"
"65","CST3"
"66","MAFB"
"67","LST1"
"68","S100A11"
"69","TYROBP"
"70","SERPINA1"
"71","FCER1G"
"72","SPI1"
"73","VCAN"
"74","CD14"
"75","IFITM3"
"76","CTSS"
"77","DUSP6"
"78","FTL"
"79","CSTA"
"80","SAT1"
"81","IFI27"
"82","CLEC7A"
"83","CFD"
"84","S100A6"
"85","NEAT1"
"86","PSAP"
"87","PLAUR"
"88","LGALS3"
"89","CCL4"
"90","SPON2"
"91","PRF1"
"92","CD7"
"93","KLRB1"
"94","CCL3"
"95","CD247"
"96","KLRF1"
"97","CLIC3"
"98","FCGR3A"
"99","XCL2"
"100","TRBC1"
"101","NCR3"
"102","MATK"
"103","IL2RB"
"104","APMAP"
"105","RTKN2"
"106","FOXP3"
"107","IL2RA"
"108","CTLA4"
"109","TIGIT"
"110","STAM"
"111","HPGD"
"112","DUSP4"
"113","CD27"
"114","PBXIP1"
"115","TTC39C"
"116","ARID5B"
"117","AES"
"118","FCMR"
"119","LAT"
"120","LCK"
"121","GBP5"
"122","CYTOR"
"123","ISG20"
"124","CORO1B"
"125","TRBC2"
"126","HSPA8"
"127","SELL"
"128","MIR4435-2HG"
"129","PLD4"
"130","FCER1A"
"131","NAPSA"
"132","SERPINF1"
"133","CD1C"
"134","CLEC10A"
"135","HLA-DQA1"
"136","HLA-DRA"
"137","HLA-DRB5"
"138","CD74"
"139","HLA-DMA"
"140","HLA-DRB1"
"141","HLA-DPA1"
"142","HLA-DPB1"
"143","GRN"
"144","HLA-DQB1"
"145","CCDC50"
"146","GPR183"
"147","TCF4"
"148","CPVL"
"149","ITM2C"
"150","GSTP1"
"151","SOX4"
"152","TUBA1B"
"153","TXN"
"154","UGCG"
"155","AREG"
"156","JCHAIN"
"157","IGHA1"
"158","IGHG1"
"159","MZB1"
"160","IGHG2"
"161","IGHA2"
"162","IGLL5"
"163","IGHG3"
"164","DERL3"
"165","IGLV3-1"
"166","TXNDC5"
"167","IGHV6-1"
"168","CD38"
"169","TNFRSF17"
"170","PDIA4"
"171","LMAN1"
"172","IGLC2"
"173","FKBP11"
"174","SDF2L1"
"175","SEC11C"
"176","IGHV4-34"
"177","SSR3"
"178","MYDGF"
"179","IGKC"
"180","HSP90B1"
"181","PPIB"
"182","SSR4"
"183","IGKV4-1"
"184","IGHM"
"185","CD79A"
"186","MS4A1"
"187","LINC00926"
"188","SNX9"
"189","CD37"
"190","CD83"
"191","FCER2"
"192","FAM129C"
"193","RALGPS2"
"194","BACH2"
"195","BANK1"
"196","BTG1"
"197","EZR"
"198","IGHD"
"199","PLPP5"
"200","AFF3"
"201","LAPTM5"
"202","ADAM28"
"203","MEF2C"
"204","PELI1"
"205","CD69"
"206","FOXP1"
"207","LINC01781"
"208","BLK"
"209","TNFRSF13C"
"210","LINC01857"
"211","COBLL1"
"212","SWAP70"
"213","CD79B"
"214","HERPUD1"
"215","SYNGR2"
"216","PMAIP1"
"217","CD4"
"218","NCAM1"
"219","CD19"
"220","ITGAX"
"221","NECTIN2"
"222","ITGAL"
"223","IL3RA"
"224","FUT4"
"225","PVR"
"226","KIR3DL1"
"227","CD163"
"228","SIGLEC1"
"229","CCR3"
"230","CCR4"
"231","CCR6"
"232","CD2"
"233","CR2"
"234","CD22"
"235","CD226"
"236","CD244"
"237","ICOS"
"238","PDCD1"
"239","ITGB1"
"240","LAIR1"
"241","PECAM1"
"242","KLRK1"
"243","FCGR2A"
"244","SIGLEC7"
"245","CD33"
"246","NCR1"
"247","CR1"
"248","CD36"
"249","HAVCR2"
"250","ENTPD1"
"251","ITGA2B"
"252","PTPRC"
"253","CD47"
"254","ITGA2"
"255","ITGA4"
"256","ITGA6"
"257","CD5"
"258","CD52"
"259","ICAM1"
"260","B3GAT1"
"261","SELP"
"262","FCGR1A"
"263","TFRC"
"264","NT5E"
"265","FAS"
"266","CD96"
"267","CLEC12A"
"268","TRDV2"
"269","TRAC"
"270","CXCR3"
"271","CXCR5"
"272","CD24"
"273","THBD"
"274","FCGR2B"
"275","VEGFA"
"276","VEGFB"
