"","x"
"1","S100A8"
"2","S100A9"
"3","IGKV4-1"
"4","HLA-DQA1"
"5","CD74"
"6","HLA-DRA"
"7","IGLV2-14"
"8","IGHV4-39"
"9","LYZ"
"10","TRBV7-2"
"11","HLA-DRB1"
"12","IGKV3-20"
"13","IGHV3-23"
"14","CST3"
"15","IGHV3-7"
"16","TRBV10-3"
"17","TRBV4-1"
"18","IGHV3-33"
"19","IGLV1-40"
"20","IGLV1-44"
"21","TRBV6-2"
"22","FOS"
"23","PPBP"
"24","IGLV1-51"
"25","TRBV24-1"
"26","TRBV13"
"27","TRBV3-1"
"28","TRBV12-3"
"29","IGHV1-69D"
"30","TRBV14"
"31","TRBV12-4"
"32","TRBV11-2"
"33","TRBV7-3"
"34","IGHV4-34"
"35","IGHV3-21"
"36","HLA-DPA1"
"37","TRBV12-5"
"38","IGHV3-30"
"39","HLA-DPB1"
"40","IGKV3-11"
"41","IGHV3-53"
"42","FTL"
"43","IGKV1-5"
"44","S100A12"
"45","TRBV6-6"
"46","TRBV5-5"
"47","FCER1A"
"48","IGHV5-51"
"49","TRBV5-1"
"50","CLEC10A"
"51","CD79A"
"52","MS4A1"
"53","TCL1A"
"54","IGHM"
"55","CD79B"
"56","LINC00926"
"57","FAM129C"
"58","FCER2"
"59","BANK1"
"60","LTB"
"61","IL7R"
"62","TCF7"
"63","LDHB"
"64","AQP3"
"65","LEF1"
"66","MAL"
"67","CCR7"
"68","NOSIP"
"69","SARAF"
"70","TRAT1"
"71","TSHZ2"
"72","RCAN3"
"73","INPP4B"
"74","GPR183"
"75","FCN1"
"76","SAT1"
"77","TYROBP"
"78","AIF1"
"79","SERPINA1"
"80","LST1"
"81","VCAN"
"82","SPI1"
"83","CTSS"
"84","GNLY"
"85","GZMB"
"86","PRF1"
"87","HOPX"
"88","NKG7"
"89","SPON2"
"90","CLIC3"
"91","FCGR3A"
"92","CST7"
"93","KLRF1"
"94","GZMA"
"95","TRDC"
"96","KLRD1"
"97","CTSW"
"98","CCL5"
"99","CD8B"
"100","CD8A"
"101","LINC02446"
"102","GZMM"
"103","GZMH"
"104","FGFBP2"
"105","DUSP2"
"106","CD4"
"107","NCAM1"
"108","CD3E"
"109","CD19"
"110","CD14"
"111","ITGAX"
"112","NECTIN2"
"113","ITGAL"
"114","IL3RA"
"115","FUT4"
"116","PVR"
"117","KIR3DL1"
"118","CD163"
"119","SIGLEC1"
"120","ITGB2"
"121","CCR3"
"122","CCR4"
"123","CCR6"
"124","CD1C"
"125","CD2"
"126","CR2"
"127","CD22"
"128","CD226"
"129","CD244"
"130","IL2RA"
"131","TNFRSF13C"
"132","CD27"
"133","ICOS"
"134","PDCD1"
"135","ITGB1"
"136","LAIR1"
"137","PECAM1"
"138","KLRK1"
"139","FCGR2A"
"140","SIGLEC7"
"141","CD33"
"142","NCR1"
"143","NCR3"
"144","CR1"
"145","CD36"
"146","HAVCR2"
"147","CD38"
"148","ENTPD1"
"149","ITGA2B"
"150","PTPRC"
"151","CD47"
"152","ITGA2"
"153","ITGA4"
"154","ITGA6"
"155","CD5"
"156","CD52"
"157","ICAM1"
"158","B3GAT1"
"159","SELL"
"160","SELP"
"161","FCGR1A"
"162","CD69"
"163","CD7"
"164","TFRC"
"165","NT5E"
"166","FAS"
"167","CD96"
"168","CLEC12A"
"169","IGHD"
"170","KLRG1"
"171","TRDV2"
"172","TRAC"
"173","TIGIT"
"174","CXCR3"
"175","CXCR5"
"176","CD24"
"177","THBD"
"178","FCGR2B"
"179","TRBC1"
"180","TRBC2"
"181","CD3D"
"182","CD3G"
"183","FCER1G"
"184","VEGFA"
"185","VEGFB"
