"","x"
"1","JCHAIN"
"2","IGHA1"
"3","IGHV4-34"
"4","IGKC"
"5","IGHG1"
"6","IGLC2"
"7","IGKV4-1"
"8","MZB1"
"9","IGLC3"
"10","CCL4L2"
"11","IGLL5"
"12","IGKV3-20"
"13","CCL4"
"14","IGHV3-30"
"15","IGHV6-1"
"16","IGHA2"
"17","HSP90B1"
"18","HBB"
"19","IGHG3"
"20","IGHG2"
"21","IGHM"
"22","C1QB"
"23","IGHV3-23"
"24","HBA2"
"25","IGKV3-15"
"26","HBA1"
"27","C1QA"
"28","IGHG4"
"29","DERL3"
"30","LYPD2"
"31","ITM2C"
"32","IFI27"
"33","TXNDC5"
"34","C1QC"
"35","IGKV1-39"
"36","TNFRSF17"
"37","IGLV1-51"
"38","IGLV3-19"
"39","TRBV12-3"
"40","TRBV7-2"
"41","S100A8"
"42","IGLV3-21"
"43","IGHV1-46"
"44","IGHV3-48"
"45","SEC11C"
"46","IGLV2-8"
"47","IGKV1-5"
"48","TRBV4-1"
"49","IGHV4-59"
"50","S100A9"
"51","S100A12"
"52","LYZ"
"53","FCN1"
"54","VCAN"
"55","MAFB"
"56","CD14"
"57","DUSP6"
"58","CSTA"
"59","CST3"
"60","CXCL8"
"61","PLAUR"
"62","TYROBP"
"63","CLEC7A"
"64","CD4"
"65","GZMH"
"66","GNLY"
"67","FGFBP2"
"68","CCL5"
"69","NKG7"
"70","CST7"
"71","GZMA"
"72","GZMB"
"73","IL32"
"74","HOPX"
"75","CD3G"
"76","GZMM"
"77","CD3E"
"78","CD6"
"79","CD8A"
"80","CD8B"
"81","CTSW"
"82","KLRD1"
"83","CD3D"
"84","CD79A"
"85","MS4A1"
"86","CD74"
"87","BANK1"
"88","HLA-DQA1"
"89","HLA-DRA"
"90","EZR"
"91","RALGPS2"
"92","HLA-DQB1"
"93","HLA-DPB1"
"94","LINC00926"
"95","CD37"
"96","HLA-DPA1"
"97","CD83"
"98","HERPUD1"
"99","LTB"
"100","IL7R"
"101","TNFAIP3"
"102","ZFP36L2"
"103","JUNB"
"104","GATA3"
"105","LDHB"
"106","MAL"
"107","CD69"
"108","AQP3"
"109","FLT3LG"
"110","ARHGAP15"
"111","NOSIP"
"112","JUN"
"113","GZMK"
"114","DUSP2"
"115","LYAR"
"116","CXCR3"
"117","CXCR4"
"118","DNAJB1"
"119","CMC1"
"120","TUBA4A"
"121","NR4A2"
"122","FCER1A"
"123","NAPSA"
"124","CPVL"
"125","HLA-DRB5"
"126","HLA-DMA"
"127","HLA-DRB1"
"128","AREG"
"129","SNX9"
"130","FCER2"
"131","FAM129C"
"132","BACH2"
"133","TCF7"
"134","LEF1"
"135","CCR7"
"136","PIK3IP1"
"137","TSHZ2"
"138","LINC00861"
"139","FHIT"
"140","C12orf57"
"141","LEPROTL1"
"142","LINC02446"
"143","NELL2"
"144","RPS12"
"145","RPSA"
"146","TOB1"
"147","LST1"
"148","IFITM3"
"149","AIF1"
"150","SERPINA1"
"151","FCER1G"
"152","COTL1"
"153","APOBEC3A"
"154","SAT1"
"155","SMIM25"
"156","SPI1"
"157","FCGR3A"
"158","FTL"
"159","SPON2"
"160","PRF1"
"161","CD7"
"162","KLRB1"
"163","CCL3"
"164","PLD4"
"165","LILRA4"
"166","SERPINF1"
"167","TPM2"
"168","TCF4"
"169","UGCG"
"170","CCDC50"
"171","SOX4"
"172","PTGDS"
"173","IRF7"
"174","RTKN2"
"175","FOXP3"
"176","IL2RA"
"177","TIGIT"
"178","STAM"
"179","HPGD"
"180","DUSP4"
"181","CD27"
"182","PBXIP1"
"183","TTC39C"
"184","AES"
"185","CYTOR"
"186","NCAM1"
"187","CD19"
"188","ITGAX"
"189","NECTIN2"
"190","ITGAL"
"191","IL3RA"
"192","FUT4"
"193","PVR"
"194","KIR3DL1"
"195","CD163"
"196","SIGLEC1"
"197","CCR3"
"198","CCR4"
"199","CCR6"
"200","CD1C"
"201","CD2"
"202","CR2"
"203","CD22"
"204","CD226"
"205","CD244"
"206","TNFRSF13C"
"207","ICOS"
"208","PDCD1"
"209","ITGB1"
"210","LAIR1"
"211","PECAM1"
"212","KLRK1"
"213","FCGR2A"
"214","SIGLEC7"
"215","CD33"
"216","NCR1"
"217","NCR3"
"218","CR1"
"219","CD36"
"220","HAVCR2"
"221","CD38"
"222","ENTPD1"
"223","ITGA2B"
"224","PTPRC"
"225","CD47"
"226","ITGA2"
"227","ITGA4"
"228","ITGA6"
"229","CD5"
"230","CD52"
"231","ICAM1"
"232","B3GAT1"
"233","SELL"
"234","SELP"
"235","FCGR1A"
"236","TFRC"
"237","NT5E"
"238","FAS"
"239","CD96"
"240","CLEC12A"
"241","IGHD"
"242","KLRG1"
"243","TRDV2"
"244","TRAC"
"245","CXCR5"
"246","CD24"
"247","THBD"
"248","FCGR2B"
"249","TRBC1"
"250","TRBC2"
"251","VEGFA"
"252","VEGFB"
