"","x"
"1","S100A8"
"2","S100A9"
"3","S100A12"
"4","LYZ"
"5","FCN1"
"6","VCAN"
"7","MAFB"
"8","CD14"
"9","DUSP6"
"10","CSTA"
"11","CST3"
"12","CXCL8"
"13","PLAUR"
"14","TYROBP"
"15","CLEC7A"
"16","S100A11"
"17","G0S2"
"18","CEBPD"
"19","S100A6"
"20","ATP2B1-AS1"
"21","LGALS3"
"22","CTSS"
"23","AIF1"
"24","GRN"
"25","NEAT1"
"26","SPI1"
"27","TYMP"
"28","TSPO"
"29","MS4A6A"
"30","MNDA"
"31","CD4"
"32","GZMH"
"33","GNLY"
"34","FGFBP2"
"35","CCL5"
"36","NKG7"
"37","CST7"
"38","GZMA"
"39","GZMB"
"40","IL32"
"41","HOPX"
"42","PRF1"
"43","CD3G"
"44","GZMM"
"45","CD3E"
"46","CD6"
"47","CD320"
"48","C12orf75"
"49","CD99"
"50","CD2"
"51","KLRG1"
"52","CD3D"
"53","MT1E"
"54","CD5"
"55","LYAR"
"56","IFITM1"
"57","SYNE2"
"58","SYNE1"
"59","DSTN"
"60","SYTL3"
"61","CD8A"
"62","CD8B"
"63","CTSW"
"64","KLRD1"
"65","LAG3"
"66","HCST"
"67","CMC1"
"68","CD79A"
"69","MS4A1"
"70","CD74"
"71","BANK1"
"72","HLA-DQA1"
"73","HLA-DRA"
"74","EZR"
"75","RALGPS2"
"76","HLA-DQB1"
"77","HLA-DPB1"
"78","LINC00926"
"79","CD37"
"80","HLA-DPA1"
"81","LINC01781"
"82","BLK"
"83","IGKC"
"84","TNFRSF13C"
"85","LINC01857"
"86","ADAM28"
"87","COBLL1"
"88","SWAP70"
"89","IGHM"
"90","CD83"
"91","HLA-DRB1"
"92","CD79B"
"93","HERPUD1"
"94","MEF2C"
"95","SYNGR2"
"96","PMAIP1"
"97","PELI1"
"98","LTB"
"99","IL7R"
"100","TNFAIP3"
"101","ZFP36L2"
"102","JUNB"
"103","GATA3"
"104","LDHB"
"105","MAL"
"106","CD69"
"107","AQP3"
"108","FLT3LG"
"109","ARHGAP15"
"110","NOSIP"
"111","LEPROTL1"
"112","SPOCK2"
"113","SARAF"
"114","RPSA"
"115","INPP4B"
"116","DNAJB1"
"117","ITM2A"
"118","GSTK1"
"119","JUN"
"120","KLRB1"
"121","TOB1"
"122","GZMK"
"123","DUSP2"
"124","CXCR3"
"125","CXCR4"
"126","TUBA4A"
"127","PIK3R1"
"128","RNF125"
"129","LITAF"
"130","ZFP36"
"131","FYN"
"132","P2RY8"
"133","ARL4C"
"134","STK17A"
"135","NR4A2"
"136","TSPYL2"
"137","FCER1A"
"138","CD1C"
"139","CLEC10A"
"140","NAPSA"
"141","CPVL"
"142","HLA-DRB5"
"143","LGALS2"
"144","HLA-DMA"
"145","GSTP1"
"146","CAPG"
"147","ANXA2"
"148","HLA-DQA2"
"149","GPR183"
"150","S100A10"
"151","VIM"
"152","TUBA1B"
"153","AREG"
"154","HMOX1"
"155","SNX9"
"156","FCER2"
"157","FAM129C"
"158","BACH2"
"159","BTG1"
"160","IGHD"
"161","PLPP5"
"162","AFF3"
"163","LAPTM5"
"164","FOXP1"
"165","TCF7"
"166","LEF1"
"167","CCR7"
"168","PIK3IP1"
"169","TSHZ2"
"170","LINC00861"
"171","FHIT"
"172","C12orf57"
"173","RCAN3"
"174","CAMK4"
"175","RPS12"
"176","ADTRP"
"177","EEF1B2"
"178","RPL5"
"179","RPS3A"
"180","RPL30"
"181","GIMAP7"
"182","RPS4Y1"
"183","SELL"
"184","NDFIP1"
"185","RPS26"
"186","LINC02446"
"187","NELL2"
"188","RPS25"
"189","RPS4X"
"190","RPS5"
"191","FXYD7"
"192","GYPC"
"193","LST1"
"194","IFITM3"
"195","SERPINA1"
"196","FCER1G"
"197","COTL1"
"198","IFI27"
"199","C1QA"
"200","APOBEC3A"
"201","SAT1"
"202","SMIM25"
"203","FCGR3A"
"204","FTL"
"205","CFD"
"206","PSAP"
"207","MS4A7"
"208","LILRB2"
"209","CD68"
"210","LRRC25"
"211","IFI30"
"212","NPC2"
"213","WARS"
"214","STXBP2"
"215","CUX1"
"216","HES4"
"217","LILRA5"
"218","CCL4"
"219","SPON2"
"220","CD7"
"221","CCL3"
"222","CD247"
"223","KLRF1"
"224","CLIC3"
"225","XCL2"
"226","TRBC1"
"227","NCR3"
"228","MATK"
"229","IL2RB"
"230","APMAP"
"231","JCHAIN"
"232","IGHA1"
"233","IGHG1"
"234","MZB1"
"235","IGHG2"
"236","ITM2C"
"237","IGHA2"
"238","IGLL5"
"239","IGHG3"
"240","DERL3"
"241","IGLV3-1"
"242","TXNDC5"
"243","IGHV6-1"
"244","CD38"
"245","TNFRSF17"
"246","PDIA4"
"247","LMAN1"
"248","IGLC2"
"249","FKBP11"
"250","SDF2L1"
"251","SEC11C"
"252","IGHV4-34"
"253","SSR3"
"254","MYDGF"
"255","HSP90B1"
"256","PPIB"
"257","SSR4"
"258","IGKV4-1"
"259","PLD4"
"260","LILRA4"
"261","SERPINF1"
"262","TPM2"
"263","SCT"
"264","RASD1"
"265","TCF4"
"266","IRF4"
"267","IL3RA"
"268","BCL11A"
"269","PPP1R14B"
"270","TRAF4"
"271","UGCG"
"272","CCDC50"
"273","SOX4"
"274","PTGDS"
"275","IRF7"
"276","IRF8"
"277","ALOX5AP"
"278","TXN"
"279","RTKN2"
"280","FOXP3"
"281","IL2RA"
"282","CTLA4"
"283","TIGIT"
"284","STAM"
"285","HPGD"
"286","DUSP4"
"287","CD27"
"288","PBXIP1"
"289","TTC39C"
"290","ARID5B"
"291","AES"
"292","FCMR"
"293","LAT"
"294","LCK"
"295","GBP5"
"296","CYTOR"
"297","ISG20"
"298","CORO1B"
"299","TRBC2"
"300","HSPA8"
"301","MIR4435-2HG"
"302","NCAM1"
"303","CD19"
"304","ITGAX"
"305","NECTIN2"
"306","ITGAL"
"307","FUT4"
"308","PVR"
"309","KIR3DL1"
"310","CD163"
"311","SIGLEC1"
"312","CCR3"
"313","CCR4"
"314","CCR6"
"315","CR2"
"316","CD22"
"317","CD226"
"318","CD244"
"319","ICOS"
"320","PDCD1"
"321","ITGB1"
"322","LAIR1"
"323","PECAM1"
"324","KLRK1"
"325","FCGR2A"
"326","SIGLEC7"
"327","CD33"
"328","NCR1"
"329","CR1"
"330","CD36"
"331","HAVCR2"
"332","ENTPD1"
"333","ITGA2B"
"334","PTPRC"
"335","CD47"
"336","ITGA2"
"337","ITGA4"
"338","ITGA6"
"339","CD52"
"340","ICAM1"
"341","B3GAT1"
"342","SELP"
"343","FCGR1A"
"344","TFRC"
"345","NT5E"
"346","FAS"
"347","CD96"
"348","CLEC12A"
"349","TRDV2"
"350","TRAC"
"351","CXCR5"
"352","CD24"
"353","THBD"
"354","FCGR2B"
"355","VEGFA"
"356","VEGFB"
