"","x"
"1","JCHAIN"
"2","IGHA1"
"3","IGHV4-34"
"4","IGKC"
"5","IGHG1"
"6","IGLC2"
"7","IGKV4-1"
"8","MZB1"
"9","IGLC3"
"10","CCL4L2"
"11","IGLL5"
"12","IGKV3-20"
"13","CCL4"
"14","IGHV3-30"
"15","IGHV6-1"
"16","IGHA2"
"17","HSP90B1"
"18","HBB"
"19","IGHG3"
"20","IGHG2"
"21","IGHM"
"22","C1QB"
"23","IGHV3-23"
"24","HBA2"
"25","IGKV3-15"
"26","HBA1"
"27","C1QA"
"28","IGHG4"
"29","DERL3"
"30","LYPD2"
"31","ITM2C"
"32","IFI27"
"33","TXNDC5"
"34","C1QC"
"35","IGKV1-39"
"36","TNFRSF17"
"37","IGLV1-51"
"38","IGLV3-19"
"39","TRBV12-3"
"40","TRBV7-2"
"41","S100A8"
"42","IGLV3-21"
"43","IGHV1-46"
"44","IGHV3-48"
"45","SEC11C"
"46","IGLV2-8"
"47","IGKV1-5"
"48","TRBV4-1"
"49","IGHV4-59"
"50","CCL5"
"51","CD8A"
"52","CD8B"
"53","GZMH"
"54","NKG7"
"55","CST7"
"56","GZMK"
"57","GZMA"
"58","CTSW"
"59","DUSP2"
"60","GNLY"
"61","GZMM"
"62","IL32"
"63","LYAR"
"64","CD3E"
"65","LTB"
"66","IL7R"
"67","MAL"
"68","NOSIP"
"69","LDHB"
"70","TCF7"
"71","FLT3LG"
"72","LEPROTL1"
"73","LEF1"
"74","SARAF"
"75","PIK3IP1"
"76","ZFP36L2"
"77","TNFAIP3"
"78","JUNB"
"79","S100A9"
"80","S100A12"
"81","LYZ"
"82","FCN1"
"83","VCAN"
"84","MAFB"
"85","CD14"
"86","DUSP6"
"87","CSTA"
"88","CST3"
"89","CXCL8"
"90","PLAUR"
"91","TYROBP"
"92","CLEC7A"
"93","GZMB"
"94","SPON2"
"95","PRF1"
"96","FGFBP2"
"97","KLRD1"
"98","CD7"
"99","KLRB1"
"100","CCL3"
"101","HOPX"
"102","LST1"
"103","IFITM3"
"104","AIF1"
"105","SERPINA1"
"106","FCER1G"
"107","COTL1"
"108","APOBEC3A"
"109","SAT1"
"110","SMIM25"
"111","SPI1"
"112","FCGR3A"
"113","FTL"
"114","RTKN2"
"115","FOXP3"
"116","IL2RA"
"117","TIGIT"
"118","STAM"
"119","HPGD"
"120","DUSP4"
"121","CD27"
"122","CD3D"
"123","PBXIP1"
"124","AQP3"
"125","TTC39C"
"126","AES"
"127","CYTOR"
"128","FCER1A"
"129","NAPSA"
"130","HLA-DQA1"
"131","CPVL"
"132","HLA-DRB5"
"133","HLA-DMA"
"134","HLA-DRA"
"135","HLA-DRB1"
"136","HLA-DPA1"
"137","HLA-DPB1"
"138","CD74"
"139","HLA-DQB1"
"140","AREG"
"141","CD79A"
"142","MS4A1"
"143","LINC00926"
"144","SNX9"
"145","CD37"
"146","CD83"
"147","FCER2"
"148","FAM129C"
"149","RALGPS2"
"150","BACH2"
"151","BANK1"
"152","EZR"
"153","HERPUD1"
"154","PLD4"
"155","LILRA4"
"156","SERPINF1"
"157","TPM2"
"158","TCF4"
"159","UGCG"
"160","CCDC50"
"161","SOX4"
"162","PTGDS"
"163","IRF7"
"164","CD4"
"165","NCAM1"
"166","CD19"
"167","ITGAX"
"168","NECTIN2"
"169","ITGAL"
"170","IL3RA"
"171","FUT4"
"172","PVR"
"173","KIR3DL1"
"174","CD163"
"175","SIGLEC1"
"176","CCR3"
"177","CCR4"
"178","CCR6"
"179","CD1C"
"180","CD2"
"181","CR2"
"182","CD22"
"183","CD226"
"184","CD244"
"185","TNFRSF13C"
"186","ICOS"
"187","PDCD1"
"188","ITGB1"
"189","LAIR1"
"190","PECAM1"
"191","KLRK1"
"192","FCGR2A"
"193","SIGLEC7"
"194","CD33"
"195","NCR1"
"196","NCR3"
"197","CR1"
"198","CD36"
"199","HAVCR2"
"200","CD38"
"201","ENTPD1"
"202","ITGA2B"
"203","PTPRC"
"204","CD47"
"205","ITGA2"
"206","ITGA4"
"207","ITGA6"
"208","CD5"
"209","CD52"
"210","ICAM1"
"211","B3GAT1"
"212","SELL"
"213","SELP"
"214","FCGR1A"
"215","CD69"
"216","TFRC"
"217","NT5E"
"218","FAS"
"219","CD96"
"220","CLEC12A"
"221","IGHD"
"222","KLRG1"
"223","TRDV2"
"224","TRAC"
"225","CCR7"
"226","CXCR3"
"227","CXCR5"
"228","CD24"
"229","THBD"
"230","FCGR2B"
"231","TRBC1"
"232","TRBC2"
"233","CD3G"
"234","VEGFA"
"235","VEGFB"
