"","x"
"1","CCL5"
"2","CD8A"
"3","CD8B"
"4","GZMH"
"5","NKG7"
"6","CST7"
"7","GZMK"
"8","GZMA"
"9","CTSW"
"10","DUSP2"
"11","GNLY"
"12","GZMM"
"13","IL32"
"14","LYAR"
"15","CD3E"
"16","CD3D"
"17","CD3G"
"18","FGFBP2"
"19","CMC1"
"20","C12orf75"
"21","KLRD1"
"22","KLRG1"
"23","GZMB"
"24","SYNE2"
"25","HOPX"
"26","IFITM1"
"27","LITAF"
"28","CD99"
"29","HCST"
"30","TUBA4A"
"31","LTB"
"32","IL7R"
"33","MAL"
"34","NOSIP"
"35","LDHB"
"36","TCF7"
"37","FLT3LG"
"38","LEPROTL1"
"39","LEF1"
"40","SARAF"
"41","PIK3IP1"
"42","ZFP36L2"
"43","TNFAIP3"
"44","JUNB"
"45","RCAN3"
"46","CAMK4"
"47","RPS12"
"48","C12orf57"
"49","CCR7"
"50","DNAJB1"
"51","GIMAP7"
"52","INPP4B"
"53","RPSA"
"54","ARHGAP15"
"55","LINC00861"
"56","AQP3"
"57","NPM1"
"58","EEF1B2"
"59","S100A8"
"60","S100A9"
"61","S100A12"
"62","LYZ"
"63","FCN1"
"64","VCAN"
"65","MAFB"
"66","CD14"
"67","DUSP6"
"68","CSTA"
"69","CST3"
"70","CXCL8"
"71","PLAUR"
"72","TYROBP"
"73","CLEC7A"
"74","S100A11"
"75","G0S2"
"76","CEBPD"
"77","S100A6"
"78","ATP2B1-AS1"
"79","LGALS3"
"80","CTSS"
"81","AIF1"
"82","GRN"
"83","NEAT1"
"84","SPI1"
"85","TYMP"
"86","TSPO"
"87","MS4A6A"
"88","MNDA"
"89","CCL4"
"90","SPON2"
"91","PRF1"
"92","CD7"
"93","KLRB1"
"94","CCL3"
"95","CD247"
"96","KLRF1"
"97","CLIC3"
"98","FCGR3A"
"99","XCL2"
"100","TRBC1"
"101","NCR3"
"102","MATK"
"103","IL2RB"
"104","APMAP"
"105","LST1"
"106","IFITM3"
"107","SERPINA1"
"108","FCER1G"
"109","COTL1"
"110","IFI27"
"111","C1QA"
"112","APOBEC3A"
"113","SAT1"
"114","SMIM25"
"115","FTL"
"116","CFD"
"117","PSAP"
"118","MS4A7"
"119","LILRB2"
"120","CD68"
"121","LRRC25"
"122","IFI30"
"123","NPC2"
"124","WARS"
"125","STXBP2"
"126","CUX1"
"127","HES4"
"128","LILRA5"
"129","RTKN2"
"130","FOXP3"
"131","IL2RA"
"132","CTLA4"
"133","TIGIT"
"134","STAM"
"135","HPGD"
"136","DUSP4"
"137","CD27"
"138","PBXIP1"
"139","TTC39C"
"140","ARID5B"
"141","AES"
"142","FCMR"
"143","LAT"
"144","LCK"
"145","GBP5"
"146","CYTOR"
"147","ISG20"
"148","CORO1B"
"149","TRBC2"
"150","HSPA8"
"151","SELL"
"152","MIR4435-2HG"
"153","FCER1A"
"154","CD1C"
"155","CLEC10A"
"156","NAPSA"
"157","HLA-DQA1"
"158","CPVL"
"159","HLA-DRB5"
"160","LGALS2"
"161","HLA-DMA"
"162","HLA-DRA"
"163","HLA-DRB1"
"164","HLA-DPA1"
"165","HLA-DPB1"
"166","CD74"
"167","HLA-DQB1"
"168","GSTP1"
"169","CAPG"
"170","ANXA2"
"171","HLA-DQA2"
"172","GPR183"
"173","S100A10"
"174","VIM"
"175","TUBA1B"
"176","AREG"
"177","HMOX1"
"178","JCHAIN"
"179","IGHA1"
"180","IGHG1"
"181","MZB1"
"182","IGHG2"
"183","ITM2C"
"184","IGHA2"
"185","IGLL5"
"186","IGHG3"
"187","DERL3"
"188","IGLV3-1"
"189","TXNDC5"
"190","IGHV6-1"
"191","CD38"
"192","TNFRSF17"
"193","PDIA4"
"194","LMAN1"
"195","IGLC2"
"196","FKBP11"
"197","SDF2L1"
"198","SEC11C"
"199","IGHV4-34"
"200","SSR3"
"201","MYDGF"
"202","IGKC"
"203","HSP90B1"
"204","PPIB"
"205","SSR4"
"206","IGKV4-1"
"207","IGHM"
"208","CD79A"
"209","MS4A1"
"210","LINC00926"
"211","SNX9"
"212","CD37"
"213","CD83"
"214","FCER2"
"215","FAM129C"
"216","RALGPS2"
"217","BACH2"
"218","BANK1"
"219","BTG1"
"220","EZR"
"221","IGHD"
"222","PLPP5"
"223","AFF3"
"224","LAPTM5"
"225","ADAM28"
"226","MEF2C"
"227","PELI1"
"228","CD69"
"229","FOXP1"
"230","LINC01781"
"231","BLK"
"232","TNFRSF13C"
"233","LINC01857"
"234","COBLL1"
"235","SWAP70"
"236","CD79B"
"237","HERPUD1"
"238","SYNGR2"
"239","PMAIP1"
"240","PLD4"
"241","LILRA4"
"242","SERPINF1"
"243","TPM2"
"244","SCT"
"245","RASD1"
"246","TCF4"
"247","IRF4"
"248","IL3RA"
"249","BCL11A"
"250","PPP1R14B"
"251","TRAF4"
"252","UGCG"
"253","CCDC50"
"254","SOX4"
"255","PTGDS"
"256","IRF7"
"257","IRF8"
"258","ALOX5AP"
"259","TXN"
"260","CD4"
"261","NCAM1"
"262","CD19"
"263","ITGAX"
"264","NECTIN2"
"265","ITGAL"
"266","FUT4"
"267","PVR"
"268","KIR3DL1"
"269","CD163"
"270","SIGLEC1"
"271","CCR3"
"272","CCR4"
"273","CCR6"
"274","CD2"
"275","CR2"
"276","CD22"
"277","CD226"
"278","CD244"
"279","ICOS"
"280","PDCD1"
"281","ITGB1"
"282","LAIR1"
"283","PECAM1"
"284","KLRK1"
"285","FCGR2A"
"286","SIGLEC7"
"287","CD33"
"288","NCR1"
"289","CR1"
"290","CD36"
"291","HAVCR2"
"292","ENTPD1"
"293","ITGA2B"
"294","PTPRC"
"295","CD47"
"296","ITGA2"
"297","ITGA4"
"298","ITGA6"
"299","CD5"
"300","CD52"
"301","ICAM1"
"302","B3GAT1"
"303","SELP"
"304","FCGR1A"
"305","TFRC"
"306","NT5E"
"307","FAS"
"308","CD96"
"309","CLEC12A"
"310","TRDV2"
"311","TRAC"
"312","CXCR3"
"313","CXCR5"
"314","CD24"
"315","THBD"
"316","FCGR2B"
"317","VEGFA"
"318","VEGFB"
