"","x"
"1","MTSS1L"
"2","NRAV"
"3","SEMA5A"
"4","OPHN1"
"5","LINC01151"
"6","EGF"
"7","XK"
"8","AP001189.3"
"9","MFSD2B"
"10","DDO"
"11","CDCP1"
"12","GFRA2"
"13","MAPK12"
"14","SAMD13"
"15","CDH24"
"16","PPP1R9A"
"17","AMOTL1"
"18","AC132872.3"
"19","GRAMD1C"
"20","AL035446.1"
"21","KATNAL2"
"22","ARHGEF18"
"23","CLDN5"
"24","PTPRB"
"25","AC004130.1"
"26","AL133467.1"
"27","TNFSF13"
"28","MAP2"
"29","SYT1"
"30","LTB"
"31","RPL39"
"32","RPL32"
"33","RPLP2"
"34","RPL34"
"35","RPS6"
"36","TPT1"
"37","RPS27"
"38","RPS15A"
"39","RPL10"
"40","RPL13A"
"41","ACTB"
"42","RPL41"
"43","CD52"
"44","MALAT1"
"45","CD8B"
"46","CD3D"
"47","IL32"
"48","TRBC2"
"49","CMC1"
"50","CCL5"
"51","TRAC"
"52","PPBP"
"53","NKG7"
"54","HLA-B"
"55","KLRB1"
"56","SH3BGRL3"
"57","PFN1"
"58","RPS19"
"59","RPS18"
"60","LYZ"
"61","S100A12"
"62","AC020656.1"
"63","S100A9"
"64","CXCL8"
"65","NFKBIA"
"66","S100A8"
"67","CCL3L1"
"68","CCL3"
"69","HLA-DRA"
"70","CCL4L2"
"71","HLA-DPB1"
"72","IGHD"
"73","TCL1A"
"74","IGLC3"
"75","IGLC2"
"76","MS4A1"
"77","IGHM"
"78","CD79A"
"79","CD79B"
"80","CD37"
"81","CXCR4"
"82","CD74"
"83","BTG1"
"84","IGKC"
"85","RPL18A"
"86","RPL10A"
"87","CLIC3"
"88","GNLY"
"89","SPON2"
"90","PTGDS"
"91","PRF1"
"92","CTSW"
"93","CST7"
"94","GZMB"
"95","FGFBP2"
"96","HBA1"
"97","ID2"
"98","HLA-C"
"99","B2M"
"100","STMN1"
"101","TUBA1B"
"102","LYPD2"
"103","LST1"
"104","SERPINA1"
"105","IFITM3"
"106","PSAP"
"107","FCER1G"
"108","AIF1"
"109","S100A11"
"110","MS4A7"
"111","COTL1"
"112","TIMP1"
"113","OAZ1"
"114","FCGR3A"
"115","FTL"
"116","TMSB4X"
"117","CD4"
"118","NCAM1"
"119","CD3E"
"120","CD19"
"121","CD14"
"122","ITGAX"
"123","CD8A"
"124","IL7R"
"125","NECTIN2"
"126","ITGAL"
"127","IL3RA"
"128","FUT4"
"129","PVR"
"130","KIR3DL1"
"131","CD163"
"132","SIGLEC1"
"133","CCR3"
"134","CCR4"
"135","CCR6"
"136","CD1C"
"137","CD2"
"138","CR2"
"139","CD22"
"140","CD226"
"141","CD244"
"142","IL2RA"
"143","TNFRSF13C"
"144","CD27"
"145","ICOS"
"146","PDCD1"
"147","ITGB1"
"148","LAIR1"
"149","PECAM1"
"150","KLRK1"
"151","FCGR2A"
"152","SIGLEC7"
"153","CD33"
"154","NCR1"
"155","NCR3"
"156","CR1"
"157","CD36"
"158","HAVCR2"
"159","CD38"
"160","ENTPD1"
"161","ITGA2B"
"162","PTPRC"
"163","CD47"
"164","ITGA2"
"165","ITGA4"
"166","ITGA6"
"167","CD5"
"168","ICAM1"
"169","B3GAT1"
"170","SELL"
"171","SELP"
"172","FCGR1A"
"173","CD69"
"174","CD7"
"175","TFRC"
"176","NT5E"
"177","KLRD1"
"178","FAS"
"179","CD96"
"180","CLEC12A"
"181","KLRG1"
"182","TRDV2"
"183","TIGIT"
"184","CCR7"
"185","CXCR3"
"186","CXCR5"
"187","CD24"
"188","THBD"
"189","FCGR2B"
"190","TRBC1"
"191","CD3G"
"192","FCER1A"
"193","VEGFA"
"194","VEGFB"
