anti-human-CD3-totalC anti-human-CD45-totalC anti-human-CD4-totalC anti-human-CD20-totalC anti-human-CD33-totalC anti-human-CD123-totalC anti-human-CD14-totalC anti-human-IgM-totalC anti-human-HLA-DR-totalC anti-human-CD7-totalC
(Intercept) 0.398563881085458 0.00930928445368567 0.740788917310151 0.433786568199622 0.622543781405462 0.14506755306146 0.373436048284599 0.123655217669206 1.08454079043292 0.723080131212935
CD4 0 0 0.792173315782087 0 0.664160464899944 0 0.119646321182056 0 0.588617419317739 0.05653206393347
NCAM1 0 0 0 0 -0.0310188949897251 0 0 0 0 -0.134432756412977
CD3E 0.0417600505909108 0 0.0406644276282278 0 -0.0104844055590303 0 0 0 0 0.0584863818663406
CD19 0 0 0 0.319686666198109 -0.0208590875999513 0 0 0.063272809142367 0.176279110829332 0
CD14 0 0 -0.0170877052983636 0 -0.000668468698356321 0 0 0 -0.0464914420822616 0
ITGAX 0 0 0.118446282252931 0 0.205215157907926 0 0.11018620948546 0 0.201396588931655 0
CD8A 0.0096608191663648 0 -0.0599926233860993 0 0.0147357053368191 0 0.00928608479588752 0 0.00551158078226264 0
FCGR3A 0 0 0 0 -0.0489805401256611 0 -0.0139510466235204 0 0 0.038530117365634
IL7R 0.0123012810416608 0 0.0338109532955394 0 -0.0145061154108101 0 0 0 -0.0215088930368173 0.0435732263850017
NECTIN2 0 0 0 0 -1.04191629568299 0 -0.191773960762954 0 0.840725171158598 -0.331533359324633
ITGAL 0 0 -0.165136707060443 0 0 0 -0.0424567850907232 0 0 -0.109818968886008
IL3RA -0.0074947539933085 0 -0.0736450971360044 0 -0.727073208528036 0.387149622025691 -0.166657567935046 0 -0.0641262348616438 -0.0914512462355065
FUT4 -0.431808869889477 0 -4.03921384597351 0 0.66864845093547 0 -1.00472610470701 0 2.20251937115862 -3.77633695890267
PVR 3.11478043374856 0 0 0 -5.27273598488768 0 -2.57803670165196 0 1.40915011957144 12.7745957709261
KIR3DL1 0 0 -0.000209440680765953 0 -0.0200051262632226 0 -0.000826207647364038 0 0 0
CD163 -0.0180564578917827 0 -0.0288803761210472 0 0.112482561389177 0 0 0 -0.0538730383141904 -0.026871301569611
SIGLEC1 0 0 0 0 0 0 -0.067818758027627 0 0 0
ITGB2 -0.00223075843166697 0 -0.0155513222370292 0 -0.0185223167125833 0 -0.00731376024140492 0 -0.0301320475523511 -0.0425452083441534
CCR3 0 0 0.704002936971202 0 0.409910605687082 0 0.226266254587879 0 2.50712684320158 0.398850055256165
CCR4 0 0 -0.07837766469658 0 -0.39931176323336 0 0 0 -0.038390123804223 -0.150413255377911
CCR6 -0.0291312208631432 0 0 0 -0.128323386160523 0 -0.0287932356441195 0 -0.14039478620076 -0.0702176397064867
CD1C 0 0 0 0 0.0945986100274516 0 -0.00509710071968065 0 -0.0119019111967203 0.0137546500557467
CD2 0 0 0.00363071955534632 0 0 0 0 0 0 -0.058157580116514
MS4A1 0 0 0 0.0448593034203522 -0.010596722133799 0 0 0.00700666018361863 0 0
CR2 -1.06254431814385 0 -0.312611815229951 0 0 0 0 0.786153079160373 0 -0.701391874801029
CD22 -0.151062154181681 0 -0.274816211630737 0 -0.0310717907866109 0 0 0.113042169863488 -0.147964593392698 -0.290283372520527
CD226 0 0 0.33582761243779 0 0 0 0 0 0 0
GYPA 0 0 0 0 0.232189381153531 0 0 0 0 0
CD244 0 0 0 0 0.333545936231258 0 0 0 0 0
IL2RA -0.0399271253791796 0 -0.122853339074916 0 -0.0303740657579999 0 -0.0227915365956229 0 0 0
TNFRSF13C -0.122041951088181 0 -0.241007120359937 0.0818671714404618 -0.0286258113475045 0 0 0 0 -0.243776116147167
CD27 0.0284446069925562 0 0 0 -0.0478139499078396 0 0 0 0 0.0959907604993475
ICOS 0.0778325922009737 0 0.424918316864127 0 0 0 0 0 0 0
PDCD1 0 0 0.0500835997490353 0 0.373326259205786 0 0 0 0.0180627535416558 0
ITGB1 -0.0131902198347604 0 0 0 0.0301966376457997 0 0.0170881320754059 0 0.00702377910727968 -0.0617258562728654
LAIR1 0 0 0.44866061448049 0 0.85108847121301 0 0.394061938905036 0 0.789642627399048 0.178116884084631
PECAM1 0 0 0 0 0.147578000155893 0 0.0190062830362488 0 0 -0.00449943103211489
KLRK1 0.0778381546323883 0 -0.287523065066131 0 0 0 0 0 0 1.20027761760755
FCGR2A 0 0 -0.0980881488201161 0 -0.868364352411443 0 0 0 -0.571101990552803 0
SIGLEC7 -0.253142437389869 0 0 0 -0.280251145432187 0 0 0 -0.170537504469954 0.179123130095158
CD33 -0.0281845658814834 0 0 0 1.81328682501885 0 0.17055483357508 0 0.204128231363737 -0.122037194461748
NCR1 -0.0822888917513996 0 -0.100075044559476 0 -0.157191045188611 0 0 0 -0.322989220883047 -0.577361293315158
NCR3 -0.0305752535939547 0 -0.0769286436121474 0 0 0 0 0 0 0
CR1 -0.156029467860619 0 -0.217005627988516 0 0.156179975223291 0 -0.0445546528911343 0 -0.34087325917222 -0.219237558017725
CD36 -0.0184248931605262 0 0 0 0.212009483034016 0 0.0629958543007313 0 0 -0.034474209743013
HAVCR2 0 0 0 0 0 0 0 0 0.0440034017307552 0
CD38 -0.0194791072780806 0 -0.000122518916653545 0 -0.0640959590581228 0 0 0 0.0696324816073303 -0.0439019203295766
ENTPD1 -0.147699466159428 0 -0.424442827080292 0 0.974014932840505 0 0 0 0.0892631943908031 -0.164875831638243
ITGA2B 0 0 0 0 0.0229233235352354 0 0 0 0 0
PTPRC 0.0112672762993386 0 0 0 0 0 0 0 -0.040278620379018 0.0463316711576819
