CD154 CD4 CD56 CD3 CD19 CD14 CD11c CD8 CD16 CD127
(Intercept) 3.39640462402547 5.38340049465594 3.38283590828129 5.25778123281758 3.16943161751145 2.74962040822305 4.12081539120626 4.51896180357361 4.44470444278693 4.03927800927851
CD4 0 2.43908921524036 -0.0384908699353126 0 0 0 0 -0.993843354941043 0 0.0544522972841961
NCAM1 0 0 1.12253146839416 0 0 0 0 0 0 0
CD3E 0 0 0 0 -0.0415004245857262 0 0 0 0 0
CD19 0 0 -0.611826832723304 0 1.66650834849305 0 0 -0.983431543202467 0 0
CD14 0 0 0 0 0 0.0238946009385447 0 0 -0.00241770744851927 0
ITGAX 0 0 0 -3.65712238188107 0 0 3.92873185960721 0 0 0
CD8A 0 -0.225252142383354 -0.0787824761116276 0 0 0 0 0.667822306740588 -0.00723453047982175 0
FCGR3A 0 0 0.0542346284585082 0 0 0 0 0 0.475883692369643 0
IL7R 0 0.014118282103338 0 0 0 0 0 0 0 0.492916052270102
NECTIN2 0 0 0 0 0 4.97585479001835 2.76325098050292 0 0 0
ITGAL 0 -0.443904365108171 0 0 0 0 0 0.531028289809441 0.308634157110373 0
IL3RA 0 0 0 0 0 0 0 0 0 0
FUT4 0 0 0 0 0 0 0 0 0 0
PVR 0 0 0 0 0 0 0 0 0 0
KIR3DL1 0 0 0 0 0 0 0 0 0 0
CD163 0 0 0 0 0 1.30144132123575 0.51248246200081 0 0 0
SIGLEC1 0 0 0 0 0 0 0 0 -0.482370861699402 0
ITGB2 0 0 0 0 0 0 0 0.0352027328271206 0.0214643833435969 0
CCR3 0 0 0 0 0 0 0 0 0 -0.042742539002741
CCR4 0 0 0 0 0 0 0 0 0 0
CCR6 0 0 0 0 0 0 0 -0.432711890191838 0 0
CD1C 0 0 0 0 0 0 0 0 0 0
CD2 0 0 0 0 0 0 0 0 0 0
MS4A1 0 -0.0536880651804802 0 0 0.227114003140274 0 0 0 0 0
CR2 0 0 0 0 0 0 0 0 0 0
CD22 0 -1.19866186022458 -0.550574452248785 -0.920196381273487 1.09064424038598 0 0 -0.175968852615708 -0.654698474654256 -0.543788315764962
CD226 0 0 0 0 0 0 0 0 0.189222751619385 0
GYPA 0 0 0 0 0 0 0 0 0 0
CD244 0 -1.1255041644094 1.02646202290281 0 0 0 0 0 0.71391115440594 -0.257295793206511
IL2RA 0 0 0 0 0 0 0 0 -0.0171763683579516 0
TNFRSF13C 0 0 0 0 0.229089247356862 0 0 0 0 0
CD27 0 0 0 0.243686482675337 0 0 0 0 0 0
ICOS 0 4.28081524080812 0 1.31930184822745 0 0 -0.0407161115958672 -2.92314301934426 0 0
PDCD1 0 0 0 0 0 0 0 0 0 0
ITGB1 0 0 0 0 0 0 0 0 0 0
LAIR1 0 -2.02139578735949 0 -2.83751715187204 0 0 0 0 0.342114583537751 -1.87780799123248
PECAM1 0.283994141849588 0 0 0 0.0482968073106846 0.102038296840381 0.172510022871398 0 0 0
KLRK1 0 0 0 0 0 0 0 0 0.559085595444925 0
FCGR2A 0.326839573510391 0 0 0 0 1.18938481031424 0.606430041189981 0 0 0
SIGLEC7 0 0 0 -3.58038143111022 0 0 0 0 0 0
CD33 0 0 0 0 0 0 1.42563056435805 0 0 0
NCR1 0 0 2.4602307114336 0 0 0 0 0 2.61816556941974 0
NCR3 0 0 0.18269895530624 0 0 0 0 0 0 0
CR1 0 0 0 0 0 0.107890141153363 0 0 0 0
CD36 0.00824071454465037 0 0 0 0 0.279218399266661 0.19809607004644 0 0 0
HAVCR2 0 0 0 0 0 0 0 0 0 0
CD38 0 0 0 0 0 0 0 0 0 0
ENTPD1 0 0 0 0 0.464288002883556 0.266946055659816 0 0 0 0
ITGA2B 0 0 0 0 0 0 0 0 0 0
PTPRC 0 0 0 0 0 0 0 0 0 -0.0246807867296315
CD47 0 0 0.224514988817701 0 0 0 0 0 0.695098245336982 0
ITGA2 0 0 0 0 0 0 0 0 0 0
ITGA4 0 0 0 0 0 0 0 0 -0.31536567261524 -0.447687853865864
ITGA6 0 0 0 0.64921762912085 -0.0527666358736087 0 0 0 0 0
CD5 0 2.40886104930772 0 0.784922528752719 0 0 0 -0.275226441480293 0 0
