anti-human-CD154-totalC anti-human-CD4-totalC anti-human-CD56-totalC anti-human-CD3-totalC anti-human-CD19-totalC anti-human-CD14-totalC anti-human-CD11c-totalC anti-human-CD8-totalC anti-human-CD16-totalC anti-human-CD127-totalC
(Intercept) 0.408230675730561 0.745907618297452 0.127002864971499 0.374032208923756 0.357525999019165 0.372629976766875 0.00384136642607078 0.100520845519447 1.25545527519383 0.27814345924299
CD4 0 0.652020461941855 0 0 0 0.0654127344847917 0 -0.00131431466214051 0 0
NCAM1 0 0 0.520029202654652 0 0 0 0 0 0 0
CD3E 0 0.0306251335994137 0 0.0407164840741241 0 0 0 0.00504343696916149 0 0
CD19 0 0 0 0 0.462785690367677 0 0 0 0 0
CD14 0 -0.0149528066538053 0 0 0 0 0 0 0 0
ITGAX 0 0.100607262080431 0 0 0 0.0783615671625988 0 0 0 0
CD8A 0 -0.0522902919495001 0 0.0062417403350615 0 0 0 0.0881462421925743 0 0
FCGR3A 0 0 0 0 0 0 0 0 0.0689511746723976 0
IL7R 0 0.023579577657102 0 0.00632763500601612 0 0 0 0 0 0.0239304248249618
NECTIN2 0 0 0 0 0 0 0 0 -1.01255313425437 0
ITGAL 0 -0.168131910126773 0 0 -0.00918310442443973 0 0 0 -0.233331366488272 0
IL3RA 0 -0.141430415819308 0 0 -0.0386500628108554 -0.0798438746546909 0 0 -0.296308917146708 0
FUT4 0 -1.81703446057958 0 0 0 0 0 0 -1.47885951518314 0
PVR 0 0 0 0.162364743685389 0 0 0 0 0 0
KIR3DL1 0 0 0 0 0 0 0 0 -0.0227646869033962 0
CD163 0 -0.0160867824439665 0 -0.00533193762112394 0 0 0 0 0 0
SIGLEC1 0 0 0 0 0 0 0 0 -0.0679184351011542 0
ITGB2 0 -0.00863652322987695 0 0 -0.00105856035210448 0 0 0 0 0
CCR3 0 0 0 0 0 0 0 0 0 0
CCR4 0 0 0 0 0 0 0 0 0 0.00574511469834388
CCR6 0 0 0 -0.0188775183155487 0 0 0 0 -0.168340191138567 0
CD1C 0 0 0 0 0 0 0 0 0 0
CD2 0 0 6.57314299488372e-05 0 0 0 0 0 0.00517525890390628 0
MS4A1 0 0 0 0 0.0170942442875866 0 0 0 0 0
CR2 0 -0.0222719143995339 0 -0.737004333904107 0 0 0 0 0.310995192467624 0
CD22 0 -0.261966355813564 0 -0.145472052091249 -0.237819398298797 0 0 0 -0.130613385701162 0
CD226 0 0 0 0 0 0 0 0 0.879225998396612 0
GYPA 0 0 0 0 0 0 0 0 0 0
CD244 0 0 0.032038601108483 0 0 0 0 0 0 0
IL2RA 0 -0.0480088780460033 0 -0.00785134848956823 0 0 0 0 0 0
TNFRSF13C 0 -0.243228875739695 0 -0.107101627628858 0.889165145154299 0 0 0 0 0
CD27 0 0 0 0.0108950213076931 0 0 0 0 0 0
ICOS 0 0.473600268524488 0 0 0 0 0 0 0 0
PDCD1 0 0 -0.0647229219252312 0 0 0 0 0 0.718007197611296 0
ITGB1 0 0 0 -0.0190682474077825 0 0 0 0 0.0754593184830252 0
LAIR1 0 0.276591786163253 0.0867406545144646 0 0 0.113169959975507 0 0 0.742752174351416 0
PECAM1 0 0 0 0 0 0 0 0 0.201897127233469 0
KLRK1 0 -0.142872512495672 0.381254507150057 0 0 0 0 0 1.65530659680619 0
FCGR2A 0 0 0 0 0 0 0 0 -0.173747866509997 0
