anti-human-CD155-totalC anti-human-CD112-totalC anti-human-CD47-totalC anti-human-CD52-totalC anti-human-CD3-totalC anti-human-CD8-totalC anti-human-CD56-totalC anti-human-CD19-totalC anti-human-CD33-totalC anti-human-CD11c-totalC anti-human-HLA-totalC anti-human-CD45RA-totalC anti-human-CD123-totalC anti-human-CD7-totalC anti-human-mouse-CD49f-totalC anti-human-CD194-totalC anti-human-CD4-totalC anti-human-CD14-totalC anti-human-CD16-totalC anti-human-CD25-totalC anti-human-CD45RO-totalC anti-human-CD279-totalC anti-human-TIGIT-totalC anti-human-CD20-totalC anti-human-CD335-totalC anti-human-CD31-totalC anti-human-IgM-totalC anti-human-CD5-totalC anti-human-CD183-totalC anti-human-CD32-totalC anti-human-CD196-totalC anti-human-CD185-totalC anti-human-CD69-totalC anti-human-CD62L-totalC anti-human-CD197-totalC anti-human-KLRG1-totalC anti-human-CD27-totalC anti-human-CD95-totalC anti-human-HLA-DR-totalC anti-human-CD1c-totalC anti-human-CD64-totalC anti-human-CD141-totalC anti-human-CD314-totalC anti-human-CD66b-totalC anti-human-CD35-totalC anti-human-CD57-totalC anti-human-CD366-totalC anti-human-mouse-rat-CD278-totalC anti-human-CD96-totalC anti-human-CD39-totalC anti-human-CD24-totalC anti-human-CD21-totalC anti-human-CD11a-totalC anti-human-CD244-totalC anti-human-CD235ab-totalC anti-human-CD169-totalC anti-human-CD268-totalC anti-human-CD54-totalC anti-human-CD62P-totalC anti-human-TCRAB-totalC anti-human-FCERI-totalC anti-human-CD41-totalC anti-human-CD163-totalC anti-human-CD2-totalC anti-human-CD226-totalC anti-human-CD29-totalC anti-human-CD49b-totalC anti-human-IgD-totalC anti-human-CD18-totalC anti-human-CD38-totalC anti-human-CD127-totalC anti-human-CD15-totalC anti-human-CD22-totalC anti-human-CD71-totalC anti-human-CD193-totalC anti-human-CD36-totalC anti-human-CD49d-totalC anti-human-CD73-totalC anti-human-TCR-Vd2-totalC anti-human-CD305-totalC anti-human-CD158b-totalC anti-human-CD158e1-totalC anti-human-CD337-totalC anti-human-CD138-totalC anti-human-CLEC12A-totalC anti-human-CD94-totalC anti-human-Ig-light-chain-totalC anti-human-Ig-light-chain--totalC anti-human-CD328-totalC
(Intercept) 0.0558685786027312 0.155016593785459 0.533952783720027 0.770662231094818 0.370896536079863 0.101949341284298 0.127042148860764 0.357475162283119 0.611296975833994 0.00384136642607078 0.883281218570511 0.347884392117672 0.159517834997731 0.597462845878147 1.39524957505693 0.568395666129292 0.745540362005695 0.372765456160335 1.26418512746341 0.407786413595587 0.345140319105428 1.15838372355804 0.736602274439695 0.434416073999623 0.271872565147033 0.681187334055506 0.125298070849654 0.701521275757724 0.00767840970337212 1.79071469247008 0.207750247624881 0.591683033918676 0.345396479706369 0.798700071727223 0.000182703549746429 1.15683419393116 0.327436507415248 0.243860076915858 1.09991893790993 0.209133868600428 0.132735449740974 0.42316564095149 0.706715973722598 1.06567768604902 1.15463148284333 0.526896997015745 0.732769063663926 0.447585865491811 1.2337852917211 0.226795341192829 0.642936177574636 0.115073533862055 3.98635749000074 0.607535020669261 0.0438724897781754 0.146038411670986 0.28703591503017 0.623039890756096 0.696186967268361 0.784693887144493 0.976611594504164 1.1396064314781 0.324979972278277 0.523135655249158 2.18501010819576 2.37112703121044 0.909920304599209 0.119948795507707 0.23604829244386 0.433490933773537 0.278143721167121 1.16795989865033 0.147357157438569 0.218534433265953 0.635848103489354 0.487945332412092 0.438805832248323 0.325653337767556 0.202639109671085 0.447180103168772 0.257547394989557 0.442808295238427 1.29401320118601 0.000657732779087145 1.29544579893784 1.2520383599388 2.27797690381882 1.38122571821732 1.18644187431679
NECTIN2 0 0 0 0 0 0 0 0 -0.766716457227023 0 0 0 0 0 0 0 0 0 -1.02098617450197 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0368744828225954 0 0 0 0 0.881595844715349 0 0.267683094906779 0.0648195999129017 0 -0.586399004089882 -0.604825672596599 0 0 0 0 -0.18109002058291 0 0 0 0 0 0.304427740664941 0 0 0 0 0 0 0 0 0 0 0 0 -0.169534645363592 0 0 -0.0414246340621467 0 0.273908534897836 0 0 0.329939861325694 0 0 -0.185342670805874 0 0 -0.174574765888255 0 0.963921781961839 0 0.858385834193353 0 0
ITGAL -0.00677872892029014 0 -0.0324683107212373 -0.0299558495770549 0 0 0 -0.00900334778333373 0 0 0 -0.0129393210594455 0 0 0 0 -0.157662894064158 0 -0.242177280023672 0 0 -0.0562345048703838 0 0 0 0 0 -0.0621197200871183 0 0 0 0 0 -0.113313269137689 0 0 -0.0242540019042006 -0.00857814417481522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.251442610602146 0.0628548244992869 0 0 0 -0.101411303600637 0 -0.00583072529997673 0 0 0 -0.0733458429003054 0 0 0 0 -0.0529799040863576 -0.0147829156660575 0 0 0 0 0 0 -0.0994188925877138 0 0 -0.0521054188374975 0 0 -0.0897031748447593 0 0.0429206970935852 0 0 0 0
IL3RA 0 0 0 0 0 0 0 -0.0387126793550719 -1.06052856001044 0 -0.321041699912874 0 0.0859992091847144 0 0 0 -0.159258911924921 -0.0800609961282256 -0.293388907571345 0 0 -0.156108171575417 0 0 0 -0.142342839728862 0 -0.0569205140888576 0 -0.0197365482064415 0 0 0 0 0 0 0 -0.0790647948909533 -0.0845670801679057 0 -0.259067736018042 0 0 -0.543469142195775 -0.563079934146766 0 0 0 0 -0.131934947098686 -0.0499711363428942 0 0.587258402524196 0 0 0 0 0 0 0 0 0 0 0 -0.105537831754892 0 0 0 -0.283244269294333 -0.125989756096871 0 -0.0867904328175124 0 0 0 -0.348396476416611 0 0 0 -0.107554510631554 0 0 -0.168869422586717 0 0 0 0 0 0
IL7R 0 0 0.00239962197180792 0.0145281491583972 0.011154219473559 0 0 0 -0.0151752018857618 0 0 0 0 0.0425460619277669 0.0253614403513946 0 0.0368452571124351 0 0.00329256886902283 0 0 0 0 0 0 -0.0159848957238177 0 0.0516989541872746 0 -0.0100456751135693 0 0 0 0 0 0 0.0199773080760699 0 -0.0226301343309755 0 0 0 0 0 -0.0136112725114347 -0.00599239669263676 0 0 0.00522124486690108 -0.00646664305913535 0 0 0 -0.0133898512623948 0 0 0 -0.00745415162057403 -0.011499889911203 0.000839971058530909 0 -0.0296251077526889 0 0.0549416539500916 0 0 -0.00847400197802858 0 0 -0.00838484177875554 0.0239301847461876 0 0 0 0 -0.0140658995759951 -0.000126859796047169 0 0 -0.00402483324544904 0 0 0 0 -0.0191630082881028 -0.00500149906416277 -0.0190982316845887 -0.00205658800279593 -0.0111407012542389
CD14 0 0 0 0 0 0 0 0 0 0 -0.000542964215716862 0 0 -0.00358422979438322 0 0 -0.0160277764317119 0 0 0 0 0 0 0 0 0 0 -0.00416573777244819 0 0 0 0 0 -0.00739778936523396 0 0 -0.00120463518490947 -0.000622096767658734 -0.0455312788251664 0 -0.0125353718738108 0 0 0 0.0093199838960704 0 0 0 0 -0.0025663926826619 0 0 0 0 0 0 0 -0.0327998169237746 0 0 0 0 0 -0.00390487131734212 0 0 0 0 0 0 0 0 0 0 0 0 -0.023714540732791 0 0 -0.00453568975734236 0 0 0 0 0 0 -0.0143295377627823 0 0
FUT4 0 0 0 0 0 0 0 0 0.534762555617728 0 0 0 0 0 0 0 -2.70505045275877 0 -1.4784319675189 0 0 0 0 0 0 0 0 -2.95974470940693 0 0 0 0 0 -0.439940199042602 0 0 -0.298326694631708 0 2.15984914251699 0 -0.464077997771669 0 0 0 0 0 0 0 0 0 0 0 0.810891629356411 0.360767197531901 0 0 0 0 2.05959329980896 0 0 4.44629860991246 0 -1.19910396312108 0.834149557971048 0.546804800872442 2.69077767693512 0 -0.357569509865505 -0.039773301837694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.460640128457166 0 0 0 1.77860796145395
PVR 0 0 0 0 0.393379713045586 0 0 0 -2.97237362522952 0 0 0 0 0.509222325440358 0 0 0 0 0 0 0 0 0 0 0 -4.5922708178966 0 0 0 -0.0132120592622922 0 0 0 0 0 0 0 -2.07888796303992 0.161656029884795 0 -2.37143513895588 0.00102973878659544 0 0 -3.78172248151015 0 0 0 0 -4.25802560611138 0 0 2.07535181270678 0 0 0 0 0 2.08660223581089 0 0 0 0 0 1.30417682561424 0 1.3947031066085 0 -8.79597460189233 0 0 0 0 0 0 0 0 0 0 -0.820425749132133 0 0 0 0 8.96732422095541 0 0 0 1.23160232911619
KIR3DL1 0 0 0 0 0 0 0 0 -0.00842669802045002 0 0 0 0 0 0 0 0 0 -0.0210257680663263 0 0 -0.0193660405663079 0 0 0 0 0 -0.00374434515746322 0 0 0 0 0 0 0 0 0 0 0 0 -0.00573272174808565 0 0 -0.0259507172929645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
FCGR3A 0 0 0 0 0 0 0 0 -0.0314685643924239 0 0.00578048698162654 0.009884445008204 0 0.000775377894650854 -0.00268876672052854 0 0 0 0.0712620778866005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00801886803593659 0 0 0 0 -0.00722568439136104 0 0 0 0 0 0 0 0 0 0 0 -0.00444094659255948 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0127602606183012 0 0 0 0 0 0 0 0 0 0 0 0 0
CD163 0 0 0 0 -0.00639824383363624 0 0 0 0.107970261586398 0 0.0407375238501147 0 0 0 0 0 -0.0184764610768577 0 0 0 0 0 0 0 0 0.0276065437775019 0 0 0 -0.0261372241096374 0 0 0 -0.0164845000790653 0 0 0 0 -0.0391043093083292 0 0 0 0 0.03159459186722 -0.0140515762976422 0 0 0 0 0 0 0 -0.0695891682945555 -0.00414834238607319 0 0 0 -0.0118814899463321 -0.0107338402907045 0 0 0 0.029716894729554 0 0 -0.00438002629396745 0 0 -0.0803681843222803 -0.00221947237701318 0 0 0 0 0 0 -0.0902443657527883 0 0 0.0273738172920809 0 0 0 0 -0.00350069008970263 0 -0.0197669057145863 0 -0.0619650961434812
SIGLEC1 -0.0358456036677669 0 -0.0203124705241785 0 0 0 0 0 0 0 0 0 0 0 0.042857891360092 0 0 0 -0.0700824648728377 0 0 0 0 0 0 -0.0207807414765619 0 0.0228065428142002 0 -0.169699641318614 0 0 0 0 0 0 0 -0.0102782174836898 0 0 0 0 0 -0.165078529637413 -0.242112865430515 0 0 0 0 -0.0214891863702527 -0.0364555494862192 0 0 -0.0707571228993726 0 0.224437048717453 0 -0.272786282160952 0 0 0 0 0 0.0494262494269235 0 0 0 0 -0.217220327792286 -0.0804668351595428 0 -0.0691010056579397 0 0 0 -0.0143051760777157 -0.0471165159513484 0 0 -0.00806615742145332 0 0 0 0 -0.0317120836985808 0 -0.179838628187005 0 -0.0102480802439771
ITGB2 0 0 -0.00572759352186658 -0.017016406781186 0 0 0 -0.00104381509238152 -0.00816982505109532 0 -0.00343414921935157 -0.00159511322512975 0 -0.000605191285624407 0 0 -0.0133910972275431 0 0 0 0 0 0 0 0 -0.0225561432145875 0 -0.016760557916474 0 -0.00290743326304608 0 0 0 -0.0376864698836546 0 0 -0.0164173173272256 -0.00692376956683885 -0.024296989624332 0 -0.0173068827670544 0 0 0 0 0.00132784727563908 0 0 0 -0.0167100555787407 0 0 0.0159403735285376 0 0 0 0 -0.0370532203722375 0 0 0 0 0 -0.00367251031821204 0 0 0 0 -0.00208878954496885 0 0 0 0 0 0 -0.00453450713032116 -0.00894833325580635 0 0 -0.0145104636905209 0 0 0 0 0 0 0 0 0
CD19 0 0 0 0 0 0 0 0.462766708575621 -0.00525031644113804 0 0.189698506540978 0.0416031302007661 0 0 0 0 0 0 0 0 0 0 0 0.306825731016338 0 0 0.0596742523218825 0 0 0 0 0 0 0 0 0 0 0 0.151576730999172 0 0 0 0 0 0 0 0 0 0 0.000273537945239762 0 0 -0.036149983733729 0 0 0 0 0 0 0 0 0 0 -0.0267801910553751 0 0 0 0 0 0 0 0 0.106155093284372 0 0 0 0.0167450536056035 0 0 0.0597356580490435 0 0 0 0 0 0 0 0.0657439809829516 0
CCR3 0 0 0 0 0 0 0 0 0 0 0.388473057078846 0.324972611407723 0 0 0 0 0.0435279207019235 0 0 0 0 0 0 0 0 1.72945152371959 0 0 0 0 0 0 0 0.425290620259939 0 0 0 0 2.13228677988272 0 0 0 0 0 0.244744867924269 0 0 0 0 0.331977657401447 0 0 0 0 0 0 0 1.04830819849309 0 0 0 0.376851758998318 0 0 0 0 0 0 0 0.277138537350634 0 0 0 0 0 0.479963123063288 0.298581813602668 0 0 1.65348251443752 0 0 0 0 0.131638278419963 0 1.02284296556971 0 0
CCR4 0 0 0.0295920323659339 0.083459731543154 0 0 0 0 -0.260030245068651 0 0 -0.283640580140159 0 0 0.170948823045334 0.416501022488014 0 0 0 0 0 0 0 0 0 -0.234281276375129 0 0 0 0 0 0 0 0 0 0 0 0 -0.0232561902132989 0 0 0 0 -0.0854245873658439 -0.419852559251636 -0.0228507407055988 0 0 0 0 0 0 -0.0588718434882073 -0.0780576077955472 0 0 0 -0.0547964149783602 -0.015926639250005 0 0 -0.0773419609798192 0 0 0 0 0 0 0 -0.0198829715097194 0.00575007244799983 -0.110630658228559 0 0 0 -0.0232696530846534 -0.375340257795428 0 0 -0.206496977882584 0 0 0 0 -0.161101079346926 0 0 0 0
CCR6 -0.000604360351615842 0 0 0 -0.0128895161282822 0 0 0 -0.10695119647001 0 -0.120105196021198 -0.0819395363847857 0 -0.0717321818236897 0.00750061540391044 0 0 0 -0.161401397640469 0 0 -0.060414390556388 0 0 0 -0.0838820942954279 0 -0.0309677183610942 0 -0.156712333985447 0 0 0 -0.127138590779415 0 0 0 -0.0269764080762241 -0.131818313990568 0 -0.0151846374211849 0 0 -0.0967166949005936 -0.0760878453547885 -0.0407183332119941 0 0 0 -0.0370749298193762 -0.0414022631932851 0 0 -0.0350473267853788 0 0 0 -0.0610866001886316 -0.0531266637751935 -0.0457611071490696 0 -0.0307730014279503 0 0 0 -0.00997740625444503 -0.0215667489367004 0 -0.0321521841276144 -0.0457628340056196 0 -0.0166250735489692 0 0 0 -0.0687144515910117 -0.00979464895137888 0 0 -0.0865473631678257 0 0 -0.0616030661569186 0 -0.0711498163560337 0 0 0 -0.104677662999389
