0034-anti-human-CD3 0048-anti-human-CD45 0072-anti-human-CD4 0100-anti-human-CD20 0052-anti-human-CD33 0064-anti-human-CD123 0081-anti-human-CD14 0136-anti-human-IgM 0159-anti-human-HLADR 0066-anti-human-CD7
(Intercept) 0.118220408286473 0.0371117385836509 0.115869482184163 0.0132720007422892 0.0234633052975567 0.00920099019089279 0.0242456136586133 0.00134252352680992 0.0596975427646874 0.129136880959942
S100A8 0.000226352410719502 0 0 0 0.00109676206044217 0 0.00121561071102733 0 0 0
S100A9 0 0 -0.00161923343059943 0 0.00188997501453156 0 0 0 0 0
IGKV4-1 0.00109886595443555 0.00160668785896744 0.000238480208089861 0 0 0 0.00011260861836108 0.00376948607103794 0 0.00108980077295057
HLA-DQA1 0 0.00107341038964549 0 0 0.000573185070996173 0.00207216230693893 0 0 0.00799877513214573 0
CD74 -0.00558849623409006 0 0 0 0 0 0 0 0 -0.00200686745886826
HLA-DRA -0.000945759191511521 0 0 0.000963538276152767 0 0.000558406746442987 0 0 0.00531120461059462 -0.00193382609095475
IGLV2-14 -0.000798421961257951 0 -0.000863333521550108 0 0 0 0 0.00425409889688031 0 0
IGHV4-39 0.000737081606651907 0 0 0 0 0 0 0 0 0
LYZ 0.00210481692811888 0 0 0 0.00643974995391236 0 0.00244824800044802 0 0 0
TRBV7-2 0.000527895515808911 0.0001091331412875 0.000191154757246759 0 0.000488039003920946 0 0 0 0 0
HLA-DRB1 -1.29526985332991e-07 5.39977339903013e-06 -0.00258306030149671 0.000547977752517279 0 0 0 0 0.00362299811188401 -0.000463349949736531
IGKV3-20 0 0 -0.00114428567780421 0 0 0 0 0 0 0
IGHV3-23 0 0 -0.00219677589962598 0 0 0 0.000120872387266229 0.00401571254829188 0 0.000478819336663937
CST3 0 0 0 0 0 0 0 0 0 0
IGHV3-7 -0.000771803468026227 0 0.000467953993092175 0 0 0 0 0.00309844127960089 0 0.00215809698327295
TRBV10-3 0.00139397387874944 0.00023887237715187 0.00150053908830094 0 0 0 2.95488779514455e-06 0 0 0.00128438903817175
TRBV4-1 -5.4315893690894e-05 0 0 0 0 0 -0.000399082014104771 0 0 -8.34852135441444e-05
IGHV3-33 -0.00321312216406481 -0.000615107268215514 -0.00101321345710636 0 -0.00144180004316187 0 -0.00065626989252661 0 0 -0.00151329346574541
IGLV1-40 -0.000637143619584876 0 -0.000476592372066381 0 0.000339521331116808 0 0 0.00016127266773159 0 0.000372069291545852
IGLV1-44 -0.000978807828463384 0.00086459463780004 0 0 0 0 0 0 0.000374070145971809 -0.000421820903057656
TRBV6-2 0.00291461096649297 0 0.000804747754230372 0 0 0 0 0 0 0
FOS 0.00134901007297867 0 0 0 0.000494732983735177 0 0 0 0 0.00214237958706456
PPBP 0.0250755535576382 0.0200220250533899 0.0197305153935611 0.00755825182409949 0.00927506474199147 0.00810366572216414 0.0174793510239134 0.00156117254940886 0.0079062961162341 0.0271752116230027
IGLV1-51 0 -0.000758669366488693 0 0 0 0 -0.000200586335719324 0.00111129762162273 0 0
TRBV24-1 0.00210603931629905 0 0 0 0 0 -0.000462332691886463 0 0 -0.00035815522987616
TRBV13 -0.000133950878848543 0.000221728837614886 -0.000348648568575891 0 0 0 0 0 0 -0.000283827055356785
TRBV3-1 0.000444300496585731 0 0.00028635494292068 0 0 0 0 0 0 0.000159025760181827
TRBV12-3 0.000467708671482987 0.000605684335908366 0.000301153534935913 0 0 0 0.000192580125929303 0 0 0.00267825764186369
