0034-anti-human-CD3 0048-anti-human-CD45 0072-anti-human-CD4 0100-anti-human-CD20 0052-anti-human-CD33 0064-anti-human-CD123 0081-anti-human-CD14 0136-anti-human-IgM 0159-anti-human-HLADR 0066-anti-human-CD7
(Intercept) 1.27907339085659 1.02416271331077 1.47872297576258 0.98290829141381 1.2737974556841 0.687778613097035 0.939204577345934 0.214813397910097 1.91955049156675 2.57735403711076
CCL5 0.0327913042420584 0.0317889468460728 0.0929177765674522 0.0576057422515204 0.042527563814981 0.0330081750295359 0.0240130416149175 0 0.0502823840772223 0.0477100534017999
CD8A -0.0388240023798404 0 -0.285931715195113 -0.00271026817825973 0 -0.00289106447609058 -0.00667161369853547 0 -0.00152344841377131 0.0161155921231732
CD8B -0.0674629057740657 0.019758327186536 -0.342673317762634 0 0.0088135967418569 -0.00507334661512186 0 0 0 0.0390023381353435
GZMH 0.120086628978775 -0.00466771892440951 0 0 -0.0569946108085632 -0.0291832448536618 -0.0150134538148511 0 -0.0711024077283591 -0.0824858474231012
NKG7 0.187407430790584 0.032869743722951 0 0 0.0543030134264613 0 0.00431391120364786 0 0.017901911046093 0.152258657395165
CST7 0.0879181142992551 0.0440236685509533 0.114800358979497 0.00782965819533593 0 0 0.0279218143767401 0 0.0703895514152924 0.06863180250815
GZMK -0.0141329075588492 0 -0.0744552059687002 0 -0.00287576429396821 0 -0.0171162112132018 0 0 -0.0747788965247109
GZMA 0 0 6.96713971913153e-05 0 -0.0103410211253872 0 0 0 0.000207062526078186 -0.0126056819360842
CTSW -0.124577285319067 -0.0176368979905804 -0.153168575739573 0 -0.0184670236458822 -0.00411982262294977 0 0 0 -0.0505461555413384
DUSP2 0.0776133718909592 0.0880147450365991 0.0165912252586022 0.0132346706394814 0.0175091827509601 0.0109110958305123 0.0271597176017741 0 0.0225969193542104 0.173366605629084
GNLY 0.0105991911832725 0.000426356386024819 0.077491278019248 0 0.016794910973708 0 0.00779485493618781 0 -0.000176524067701756 0.00904933315257331
GZMM 0 0 0 0 -0.024355431989438 0 -0.00108588820391253 0 -0.145140671127296 -0.0251931665419021
IL32 0.0180388328102876 0 0 0 0.049698953412962 0 0.00102026014841069 0 0 0
LYAR -0.20409000560288 -0.058045831499737 -0.0992702904923105 0 -0.0121733287797936 0 0 0 -0.0264559569385808 -0.0241175024083807
CD3E -0.053544808519161 0 -0.0142150736590281 0 0 0 0 0 0 0
CD3D 0.0727839849762742 0 0 0 0 0 0 0 0 0.0769250675952182
CD3G 0.332387534462734 0.0117671275836726 0.00984322131632807 0 0 -0.00270741500240851 0 0 0 0
FGFBP2 -0.0108347404312079 0 0 0 0 0 0 0 0 -0.104221040326274
CMC1 0.0749772263558042 0 0.304263272695021 0 0.022117532866577 0.00241257521237141 0 0 0 0.0334762015098971
C12orf75 0 -0.140363733783419 -0.235270614419752 -0.0799691815458692 -0.170506251238194 -0.0383699233373789 -0.00213940913134991 0 -0.0649561935190474 0.022751119003975
KLRD1 -0.147275699894054 0 -0.0926774436862129 0 -0.0592924621170185 0 0 0 0 0
KLRG1 0 -0.0498255374700975 0 -0.0280839907444913 -0.0397124173732949 0 0 0 -0.0532162329816578 -0.114901294609267
GZMB 0 0 0.0565906942144383 0 0 0 0.00043824315080918 0 0 0
SYNE2 0.0698098835668189 0.11143288150691 0.541702296743488 0 0.196904783023061 0 0.00146530312793045 0 0.137262480396351 0
HOPX -0.114625734353536 -0.00073981620807544 -0.0890911709398747 0 0 0 0 0 0 -0.0395535057997063
IFITM1 0.0236815709630743 0 0 0 0 0 0 0 0.000514481660189401 0.214087696745041
LITAF 0.354369521542392 0.169199800000286 0.345978274483071 0.0788847736831893 0 0 0.131937456354258 0 0.202393322087594 0.285407987360766
