0034-anti-human-CD3 0048-anti-human-CD45 0072-anti-human-CD4 0100-anti-human-CD20 0052-anti-human-CD33 0064-anti-human-CD123 0081-anti-human-CD14 0136-anti-human-IgM 0159-anti-human-HLADR 0066-anti-human-CD7
(Intercept) 2.63064794421752 1.395574542495 2.95774746739442 0.985717354597563 0.472710059706516 0.335996028660436 0.76703308200998 0.0629360382391937 2.06171416661396 3.53315156039377
S100A8 0.09228676867238 0.00989874987678285 0.0883855399910649 0.0787744773843379 0.0730700620908114 0.0129305375669084 0.0624932763091044 0 0 0.0540627078219443
IGKV3-11 0 0 0 0.0146360049843667 0 0 0 0 0 -0.00905620274208522
S100A9 0 0 0 0 0.0881401475197995 0 0.00852770266293356 0 0 0
IGKV3-20 0.0104594146029703 0.0217697914668799 0.0225445708006442 -0.00597576492906585 0 0 0 0.0283252139401734 0 0.00354785497111805
IGKV1-5 0.00567086680399442 0 0.0154402239498144 0.0574598124367272 0 0 0 0 0.0439049577575526 0.00744276397157868
IGHV4-39 0 0.0228491253921513 -0.0283884351715808 0.0468524073835244 0 0 0 0 0.00342863834766752 0
LYZ 0 0 0 0.0205843804378764 0.0524633858049232 0 0.0174351452373718 0 0 0
IGLV2-14 0 0.0130336752892498 0 0 0 0 0 0 0 0
IGKV4-1 0 0.00422963780870691 0.010687156282767 0.00930672507439257 0 0 0 0 0 0
IGKV3-15 0.0197712122131949 0 0 0.0159004484904879 0 0 0 0 0.020944061518573 0
IGHV3-23 0 0.038853684784549 0 0.0280237545770666 0 0 0 0.0927519388673604 0 0
CST3 0.16745376131203 0 0.0643681866927498 0.0455295188068283 0.0815100607890345 0 0.00541062029217421 0 0.0828324091683393 0.0272436524835194
IGHV3-30 0 0.0125735472130095 0 0 0 0 0 0 0 -0.0101689996264588
IGLV1-40 -0.0332190920379607 0.0020361538505234 -0.0415320405324083 0.0412052271125358 0 0 0 0 0 -0.0409773756810499
IGHV1-18 0.0207220097047958 0.0134832145579202 0 0.00405302906957137 0 0 0 0.0414224362994132 0.000883043404405376 0
PPBP 0.0351889081327953 0 0 0.0461114031589504 0 0 0 0 0.00543151783503395 0.0232442972781691
IGHV4-34 0 -0.0209666526335853 0.000750439414387324 0.0258985671469012 0 0 0 0 0 0
IGLV1-51 -0.006831964372536 0 -0.00712135592836535 0.015942381465163 0 0 0 0 0.0306690933064677 -0.00723873355273265
IGLV3-19 0.0016800958153243 0.039043736520547 0.0170617131437531 0.0462791272801343 0 0 0 0 0 0.0181451434468253
CD74 -0.0882779603255471 0 -0.0438401189027284 0 0 0 0 0 0 0
HLA-DRA 0 0 0 0.0436201461187411 0 0 0 0 0.0576686274727341 0
IGHV1-69D 0.0109719102630133 0 0 0 0 0 0 0 0 0
IGLV3-21 0.00925521923726058 0.000909874236971721 -0.00647491178888108 0.0524689410010208 0 0 0.0101923008261876 0 0.00132340697585733 0
IGLV2-8 0 0 0 0.0555895718025997 0 0 0 0.018574836840024 0 0.0128024823619512
IGHV3-21 0.0190605349851698 0 0 0.0607674780003519 0 0 0 0 0 0.0191741429175168
IGHV2-5 0 0 0 0.0688914744573955 0 0 0 0 0 0
IGHV3-7 0.0724630752553141 0.0499758150130526 0.115096786355152 0 0 0 0 0.179453870943202 0 0.114295385434719
TRBV7-2 0 0.000919815398072237 0.00851709686038696 0 0 0 0 0 0 0.00033185462265634
IGLV3-1 0.0109141975833949 0.0419305330374021 0.0227344714391128 0.0735801812803574 0 0.000118579466777472 0 0 0.0467968586680979 0.00460075969937532
IGLV1-47 0 0.0331925475901434 0.0752453574306227 0.073487464242619 0 0.0119378340458877 0.0183502915484637 0 0 0.0353069431490569
IGHV4-4 0 -0.0406510436451993 -0.000178930642790491 -0.0135701331112612 0 0 0 0 0 0
IGHV3-15 -0.037809965605461 0 -0.0635202456206467 0.0604116582613239 0 0 0 0 0 -0.0611794211023391
HLA-DRB1 0 0 0 0 0 0 0.016765686125454 0 0.099621661199575 0
LYPD2 0 0 -0.0350488876835613 0 0 0 -0.0944871172269043 0 0 0
S100A12 0 0 0 0 0 0 0 0 0 0
IGHV1-3 0.018044306260544 0 0 0.0458036221108169 0 0 0 0 0 0.0152930740382303
IGHV1-2 -0.0290412733349416 0.0054321848059496 -0.0543721581262869 0.0808339138974906 0 0 0 0 0 -0.0137437243638687
FOS 0 0 0 0 0 0 0 0 0 0.00042689039259269
TRBV12-3 -0.0204367000470075 0 0.00305424058959647 -0.00148927547677621 0 0 0 0 0 0
HLA-DPA1 0 0 0 0 0 0 0 0 0.136373947548122 0
FCN1 0 0 -0.0406351578230665 0 0 0 0 0 0 0
IGHV3-11 0 0.0373141223760551 0 0.00507476663311215 0 0 0 0 0 0
HLA-DPB1 0 0 -0.104944528554281 0 0 0 0 0 0 0
TRBV10-3 0 0 0 0 0 0 0 0 0 -0.0108982440603
FTH1 -0.346676345194305 -0.130640011884068 -0.162915982243611 -0.110630344976393 0 0 -0.0123157175753539 0 -0.129862640677156 -0.37709573513674
IGHV5-51 0.0879720273936163 0.0255824787874427 0.107601899422805 0.121921997702087 0 0 0.000539054780171921 0.00973262060694959 0.0516058367609977 0.0556348592039561
IGKV2-30 0 0.023791403774422 0.0177690854487053 0.00610883937786963 0 0 0 0.0479781580890895 0 -0.00188790112675021
CLEC10A -0.0265104152045677 -0.231324187585547 0 -0.600839573774621 0 0 0 0 0 0
TRBV7-9 -0.00179081124890479 0 0.0114949884231705 0 0 0 0 0 0 0
CD79A 0 0 0 0.121104256955359 0 0 0 0 0 0
MS4A1 0.0913318112717803 0.0636899988925728 0.16490417919392 0.342599052232632 0 0 0 0.0214715269248628 0.0285285158003187 7.13892988230459e-05
TCL1A 0 -0.00790561691840226 -0.0408487438276251 -0.0135572838124877 0 0 -0.00258881382736165 0 0 -0.013880252859953
HLA-DQB1 0 0 0.0829979114215027 0.00544349110527087 0 0 0 0 0.0798576752490035 0
HLA-DQA1 -0.0303566636754521 0 0 0 0 0 0 0 0.0388829831331812 -0.145590089968878
IGHM 0 0 0 0 0 0 0 0 0 0
CD79B 0 0 0 0.0729940537331342 0 0 0 0 0.0437528516903947 0
BANK1 0 0 -0.0626431503907428 0.0789677637317723 0 0 0 0.0263304455507782 0 0
HLA-DRB5 0 0 -0.0213309649731125 0 0 0 0 0 0.0964927571700217 0
LINC00926 0 0 0 0 0 0 0 0 0 0
MAL 0 0 0 -0.0173257604777626 0 0 0 0 -0.00618992703969254 0.0470589293171184
LDHB 0.0770119001251863 0 0.155579415856735 0 0 -0.000760193852776956 0 0 0 0
LEF1 0 0 0 0 0 0 0 0 0 0.0622974762632148
LTB 0.117693730009919 0.00239234635947421 0.0376008304928158 0.0300499132110599 0 0 0 0 0 0.143173904987126
IL7R -0.0226737467442496 0 -0.0249881308333 0.00583340294371455 0 0 0 0 0 0
NOSIP 0.143367759761016 0 0.173892632720362 0 0 0 0 0 0 0.321785651836672
CD40LG 0 0 0 0.000372281394295509 0 0 0 0 0 0
INPP4B -0.168634856173865 0 0.0645518682833036 0 0 0 0 0 0 0
CD4 0.0180334546113504 -0.040554115485343 0.164530384021342 -0.083182849406908 0 0 0 0 0 -0.0928235633073275
TRAT1 0.0112996566935772 0 0.127759391036574 0 0 0 0 0 0 0
CCR7 0.00596901870498367 0 0.0892513877118624 0 0 0 0 0 0 0
TCF7 0.195268330687168 0.0673845183237547 0.082506034057105 0.00449369575054503 0 0 0 0 0 0.202067593042561
AQP3 0 -0.00167488777605418 0 -0.0666342591954646 0 -0.00226997881939253 0 0 -0.00186555079170262 0
FHIT 0.0663501978455519 -0.0117545081242174 0.0952992377929025 0 0 0 0 0 0 0.0869971251961391
GPR183 0.130062787398022 0.0505039937977909 0.256209761965589 0.139261315138203 0 0 0 0 0 0.0919444681288662
LST1 0.018641491982521 0.111343268559371 0.0988299757296158 0 0.00198651747271666 0.0236379910763787 0 0 0.030448840736767 0
AIF1 0.0143768994644645 0 0 0 0 0 0 0 0 0
SAT1 0.151823012958944 0.104938111200851 0.0398336355308825 0 0.0152981579985574 0 0 0 0.0654404678264299 0.101560896951167
TYROBP -0.0519764658629419 0 0 0 0 0 0 0 0 0.087840297805961
SERPINA1 0 0 0 0 0 0 0 0 0 0
SPI1 0 0 0 0.0836588952778199 0 0 0 0 0 0
CTSS 0 0 0 0 0 0 0 0 0 0
TYMP 0 0 0 0 0.141286324555952 0.0321602211012517 0 0 0.0316298317231842 0
GNLY 0 0 0.0416253743962787 0 0 0 0 0 0 0.0379266342624314
GZMB 0 0 0.0579556304195718 0 0 0 0 0 0 0
SPON2 0 0 0 0 0 0 0 0 0 0
PRF1 0 0 -0.0168832675867507 0 0 0 0 0 0 0
CLIC3 -0.0766561630643223 0 -0.163290337396007 -0.00406331026341492 0 0 0 0 -0.0149825302539385 0
NKG7 0.0432110901698934 0 0 0 0 0 0 0 0 0.118274808919018
MYOM2 -0.0111371983369227 0 0.0419799658534118 0 0 0 0 0 0 0.0048972959848844
FGFBP2 0 0 0 0 0 0 0 0 0 -0.108149271981593
CCL4 0 0 -0.0861090705827052 0 0 0 0 0 0 0.0743409332884161
FCGR3A -0.0402589723992093 0 -0.0604658298578599 0 0 0 0 0 0 0
KLRD1 0 0 -0.146607745257049 0 0 0 0 0 0 0.0510637003945551
CST7 0.0065760155636256 0 0 0 0 0 0 0 0 0
HOPX -0.294883913969601 -0.00937475699027132 -0.0280397343776722 0 0 0 0 0 0 0
SH2D1B 0 0 0.107563626097893 0 0 0 -0.00228651711268595 0 -0.0594270910408832 0
CTSW 0 0 -0.237073504773955 0 0 0 0 0 0 0
CD8B -0.0439589228973053 0.0208320725916704 -0.48592114158028 0 0 0 0 0 0 0.0621491293415726
CD8A 0 0 0 -0.000290160047243464 0 0 0 0 0 0
CCL5 0.0816818181706538 0.0354936086517559 0.0663367885061019 0.0205383614284482 0.000698322452541266 0.00236838395970062 0.0179603076854834 0 0.0290473787637208 0.0613481195537197
GZMK -0.000353706200095122 0.0227844389077737 -0.0829553935376516 0 0 0 0 0 0.00371968752993974 0
DUSP2 0.0138850679852194 0.000515775965394714 0 0.00138872179511141 0 0 0 0 0.0172755126563169 0.031155915129616
TRAV1-2 0 0 -0.169973598627035 -0.00139172723441445 0 0 -0.00101588986166468 0 0 0.043631962745417
KLRG1 0.00389712025563868 0 0 0 0 0 0 0 0 0
GZMA 0.0205716120932327 0 0.0944183861716846 0 0 0 0 0 0 -0.0817332943984876
NCR3 0.00507203844328115 0 -0.396375907794985 -7.30815085802546e-06 0 0 0 0 0 0.110969311849658
LYAR 0 0 0 0 0 0 0 0 0 0
GZMH 0.0693831698299386 0 0 0 0 0 0 0 0 -0.114680360685387
KLRB1 0 0 -0.0492028455622273 0 0 0 -0.000286288202571991 0 0 0.0668707024878744
NCAM1 -0.386542394840356 -0.0707411160345174 -0.230652217514231 -0.0339214094103037 0 0 0 0 -0.0845095088101884 0
CD3E 0 0 0 0 0 0 0 0 0 -0.000183525930003868
CD19 0 0 0 0 0 0 0 0.174537593524942 0.150161118166843 0
CD14 0 0 0 -0.144127330699445 0 0 0 0 0 0
ITGAX -0.284788152905026 -0.120797088004375 -0.167636146837743 0 0 0 0 0 0 0
NECTIN2 0.410077366075399 0 0.78017504272292 0.310938092993594 0 0 0 0 0 0.466914544046029
ITGAL 0 0.0703529312014087 0 0 0.0092253549398202 0.0567718939692832 0 0 0.0616277460940629 0
IL3RA 0.314752831426249 0.40567562480405 0.157102495446045 0.778336081337887 0 1.91449170094403 0 0 0.849409955750026 0
FUT4 -0.102492998245819 0 0 -0.131210763560057 0 0 0 0 0 -0.696448743867333
PVR 0 0 0.0524641924602411 0 0 0 0 0 0 0.27471118030631
KIR3DL1 0.00218618518656975 0 0.00288001343666767 0.0274264738469305 0 0 0 0 0 0
CD163 -0.358315489622752 -0.205403498222092 -0.484325042963163 -0.690612865468235 0 -0.408951887284016 0 0 -0.436569741509928 -1.14562125450638
SIGLEC1 2.53066335746193 3.62318109506691 2.76750028769999 5.17880147807523 3.27213226678451 3.86111820738619 4.25714623453556 0.0783372362532019 5.4047849414546 4.34415948610893
CCR3 0.122379615553624 0 0.356018516060135 -0.518550729155821 0 0 0 0 0.62178844683792 1.59333692423745
CCR4 -0.185650498366548 -0.0606001677122841 -0.665730131334819 0 0 0 0 0 0 -0.170028078058293
CCR6 -0.278570443409756 -0.0739333578911181 -0.00175775222028555 0 -0.000873246841766708 0 -0.0335248165603911 0 0 -0.425464229468063
CD1C -0.272212216887641 0.0124737379477298 -0.114214291354631 0.65024585014048 0.0229941899939846 0 0 0.396808714273444 0.0620044259958914 -0.11006062824996
CD2 0.0566507859372181 0.0068760821558875 0.382802672122289 0 0 0 0 0 0 -0.170200197055523
CR2 -0.589698652200001 -0.171685272234232 -0.781152989301057 0 -0.10097297017494 0 0 0 0 -0.46557299908907
CD22 -0.390049489888686 0 -0.440091881205818 -0.198493396569834 0 0 0 0 0 -0.0802088450871684
CD226 0 0 -0.0358869325132639 0.00222477097312893 0 0 0 0 0 0
CD244 0 0 0.042933355301992 -0.0406649620123426 0 0 0 0 0 0
IL2RA 0 0 0.231386121416961 0 0 0 0 0 -0.0954192676194575 0.151562100721168
TNFRSF13C 0 0 -0.120068510022785 0 0 0 0 0.581467857066101 0 0
CD27 0.0105147863681252 0.0273508241856587 -0.0570617487986015 0 0 0 0 0 0 0.0417530337636769
ICOS 0.221810471454974 0.106575302670465 0.045675330216863 -0.0457768005632743 0 0 0 0 0 0
PDCD1 0.177542521836276 0.0866968477367171 0.299836060528526 0 0 0 0 0 0.102555543618139 -0.167118277898167
ITGB1 -0.0550626326406999 0 0.151265455703092 0.0187726716594374 0 0 0 0 0 -0.163938504942123
LAIR1 0.0775403564326974 0 0.0948437296329932 0 0 0 0 0 0 0.139094330943188
PECAM1 0.0830112514368811 0 0 0.00236760547052299 0 0 0 0 0 0
KLRK1 0.0461230517311531 0.0375295408796172 -0.0204606415925733 0 0 0 0 0 0 0.0214006548556816
FCGR2A -0.3727490458262 -0.0014182540112493 -0.177492208825112 -0.513298520022896 0 -0.179226333416783 0 0 0 -0.310568393994966
SIGLEC7 -0.326598503549634 -0.0603828622068466 -0.392777278673866 0 0 -0.0343434900211648 -0.00883440304016509 0 0 -0.529519676234387
CD33 -0.356557475095145 0 -0.384786750650495 0 0.823392072789313 0 0 0 0 -0.445000443674066
NCR1 -0.280159153204437 -0.0427515392515125 -0.13651589111156 0 0 0 0 0 0 0.159992890478483
CR1 0 0 0.767094748882681 0.977648379869174 0 0 0.0946547860043749 0.473127800512012 0.27902029555954 0
CD36 -0.455841027214417 -0.142281946757344 -0.679183413376357 -0.215024545603366 0 0 0 0 0 -0.127763006468928
HAVCR2 -0.17692651606712 0 0 -0.07148905091804 0 0 -0.0871393149365111 0 0 0
CD38 -0.00777090388952415 -0.0857127716219546 -0.147354395898948 0 0 0 -0.0339008786053059 0 0 0
ENTPD1 0 0.540914699295451 0.189235768776134 1.07927737479954 0.811220812991631 0.537265193703024 0.708041407339229 0.268844405346833 0.817143305135571 0
ITGA2B 0.150920259263299 0 0.0676735417022164 0.0891047793662122 0.022739507066677 0.0839686291339853 0.111433936846562 0 0.0720708369117608 0.171862894293281
PTPRC -0.234513505612121 -0.27729653185819 -0.660183996417516 -0.138765669574072 -0.0787131363518855 -0.0763979856459439 -0.150946980941952 0 -0.272840582801346 -0.163108902168861
CD47 0 0 0.840093180799958 0 -0.0805080458672245 -0.0302496507892891 -0.0253700967886941 0 0 -0.250075647929566
ITGA2 -0.140569377713981 0 0 0 0 0 0 0 0 0
ITGA4 0 0 0 -0.021709363295459 0 0 0 0 0 -0.138724581874414
ITGA6 0.0865446658418769 0 0.395930594316952 -0.038172535466091 0 0 0 0 0 0.238118305761904
CD5 0 0 0.268593334503786 0 0 0 0 0 0 0
CD52 -0.0338369881471078 0 -0.0524224327818742 -0.0589159603733285 0 0 -0.0101364274464462 0 -0.0275713698551619 -0.274984058644738
ICAM1 0 0 0 0 0 0.0289974072669917 0.0468724217328025 0 0 0.170215827616993
B3GAT1 -0.359762303690405 -0.0345776319459559 -0.0729848758904791 0 0 0 0 0 0 -0.189094073193897
SELL 0 0 -0.16866469808978 0 0 0 0 0 -0.0109900375075598 0.0759745604967876
SELP 0 0 0.274993791504251 -0.222307800353215 0 0 0 0 0 0.127692748008841
FCGR1A 0 0.156212097655256 0.756101057262101 0.389099900483889 0.697516075700044 0 1.46922230618324 0 0 0
CD69 0.0870063328262156 0 0.270353671875514 0 0 0 0 0 0 0
CD7 -0.016756846463486 0 0.00179126521315288 0 0 0 0 0 0 0.19326204946122
TFRC -0.100697425274536 0 0.172922404242243 0 0 0.0640002095463066 0 0 0 -0.0216117156697201
NT5E -0.345782112594499 0 -0.675802349952456 -0.012482490383431 0 0 0 0 -0.0202971977329517 -0.135408964072236
FAS 0.0553362866987787 0.0692632115108521 0.0305391585449689 0 0 0 0 0 0.0902148696059995 -0.0767079331198878
CD96 0 0 -0.874117646703224 -0.072084046865093 0 0 0 0 0 0.115371367969574
CLEC12A -0.310059984050557 0 -0.36638367260511 -0.0234351941237339 0 0 0 0 0 -0.362297148284159
IGHD 0 0 0.265091820065729 0 0 0 0 0 0.121304144572444 0
TRDV2 0.670210294511733 0.194658754626419 0.350083857412454 0.0395283979627639 0 0.045591207615285 0.0408609706176218 0 0.0373289217858532 0.486703056485694
TRAC 0.141409808905671 0.0768153437668677 -0.018425181623938 0 0 0 0.0356316901103583 0 0 0.0721083620849666
TIGIT 0 0.0493239112559383 -0.02211787932498 0 0 0 0 0 0.00784347545022169 0.0387053360688164
CXCR3 -0.0700303644944236 0 -0.111309423294643 0.0353257122764035 0 0 0.0068097337978005 0 0 -0.0129435536258977
CXCR5 -0.197419527496613 0.0628287873856852 -0.518205063232663 0.00660964917550238 0 0 0 0 0.429205018482221 -0.150568536970825
CD24 -0.256568848050196 0 -0.482678984649585 0.000988602786111532 0 0 0.0139802892265056 0.93254926141396 0 -0.133800937811021
THBD 0 0 11.9940417954797 0 18.2626396739163 0 5.9435767369084 0 5.35979097699918 -0.65624043572578
FCGR2B -0.140853769680813 0 -0.12047931987735 0.115945824214857 0 0 0 0 0 -0.262859354638221
TRBC1 -0.167429277862855 0 -0.0121991975388946 0.0133056123996501 0 0 0 0 0 0
TRBC2 0.168548074225141 0.00859384559327542 0.175920863384888 0.0457802448720467 0 0 0 0 0 0.034665081513532
CD3D 0 0 -0.00199622507291481 0 0 0 0 0 0 0
CD3G 0.286027816638659 0.0300767107243603 0.116748457600724 0.0264780367926658 0 0 0 0 0 0
FCER1A 0 -0.0425591410063692 -0.124680425267265 -0.0967372083298904 0 0 -0.31850497868479 0 0 -0.0629660965070594
FCER1G -0.0318296315134424 0 0 -0.0321947410159263 0 0 0 0 0 -0.000717014469252828
VEGFA 4.48015007570769 4.17374771877349 5.3349876640972 3.84464262522814 8.49690175099467 7.87554928594462 5.10248647866438 0 3.49790257027078 3.52923491482169
VEGFB 0 -0.0107647809688551 -0.250763361880336 -0.0128629680493655 0 0 0 0 0 0.068207973161405
