0005-anti-human-CD80 0007-anti-human-CD274 0008-anti-human-CD273 0009-anti-human-CD275 0161-anti-human-CD11b 0021-anti-human-CD252 0022-anti-human-CD137L 0023-anti-human-CD155 0024-anti-human-CD112 0026-anti-human-CD47 0027-anti-human-CD70 0028-anti-human-CD30 0031-anti-human-CD40 0032-anti-human-CD154 0033-anti-human-CD52 0034-anti-human-CD3 0046-anti-human-CD8 0047-anti-human-CD56 0050-anti-human-CD19 0052-anti-human-CD33 0054-anti-human-CD34 0056-anti-human-CD269 0060-anti-human-CD90 0061-anti-human-CD117 0062-anti-human-CD10 0063-anti-human-CD45RA 0064-anti-human-CD123 0066-anti-human-CD7 0070-anti-humanmouse-CD49f 0071-anti-human-CD194 0072-anti-human-CD4 0125-anti-human-CD44 0081-anti-human-CD14 0083-anti-human-CD16 0085-anti-human-CD25 0087-anti-human-CD45RO 0088-anti-human-CD279 0089-anti-human-TIGIT 0100-anti-human-CD20 0101-anti-human-CD335 0102-anti-human-CD294 0123-anti-human-CD326 0124-anti-human-CD31 0127-anti-Human-Podoplanin 0134-anti-human-CD146 0135-anti-human-CD324 0136-anti-human-IgM 0138-anti-human-CD5 0141-anti-human-CD195 0142-anti-human-CD32 0143-anti-human-CD196 0144-anti-human-CD185 0145-anti-human-CD103 0146-anti-human-CD69 0147-anti-human-CD62L 0149-anti-human-CD161 0151-anti-human-CD152 0152-anti-human-CD223 0153-anti-human-KLRG1 0154-anti-human-CD27 0155-anti-human-CD107a 0156-anti-human-CD95 0159-anti-human-HLADR 0160-anti-human-CD1c 0162-anti-human-CD64 0163-anti-human-CD141 0164-anti-human-CD1d 0165-anti-human-CD314 0166-anti-human-CD66b 0167-anti-human-CD35 0168-anti-human-CD57-R 0169-anti-human-CD366 0170-anti-human-CD272 0171-anti-humanmouserat-CD278 0174-anti-human-CD58 0175-anti-human-CD96 0176-anti-human-CD39 0177-anti-human-CD178 0179-anti-human-CX3CR1 0180-anti-human-CD24 0181-anti-human-CD21 0185-anti-human-CD11a 0186-anti-human-IgA 0187-anti-human-CD79b 0189-anti-human-CD244 0196-anti-human-CD235ab 0205-anti-human-CD206 0206-anti-human-CD169 0207-anti-human-CD370 0208-anti-human-XCR1 0215-anti-human-CD268 0217-anti-human-CD54 0218-anti-human-CD62P 0224-anti-human-TCRab 0245-anti-human-CD106 0246-anti-human-CD122 0247-anti-human-CD267 0353-anti-human-CD41 0355-anti-human-CD137 0356-anti-human-CD254 0358-anti-human-CD163 0359-anti-human-CD83 0360-anti-human-CD357 0362-anti-human-CD309 0363-anti-human-CD124 0366-anti-human-CD184 0367-anti-human-CD2 0368-anti-human-CD226 0369-anti-human-CD29 0370-anti-human-CD303 0371-anti-human-CD49b 0373-anti-human-CD81 0374-anti-human-CD98 0375-anti-human-IgGFc 0384-anti-human-IgD 0385-anti-human-CD18 0386-anti-human-CD28 0387-anti-human-TSLPR 0389-anti-human-CD38 0390-anti-human-CD127 0048-anti-human-CD45 0392-anti-human-CD15 0393-anti-human-CD22 0394-anti-human-CD71 0395-anti-human-B7H4 0396-anti-human-CD26 0397-anti-human-CD193 0399-anti-human-CD204 0400-anti-human-CD144 0402-anti-human-CD1a 0406-anti-human-CD304 0407-anti-human-CD36 0420-anti-human-CD158 0437-anti-mousehuman-CD207 0576-anti-human-CD49d 0577-anti-human-CD73 0590-anti-human-CD305 0591-anti-human-LOX1 0592-anti-human-CD158b 0594-anti-human-CD133 0597-anti-human-CD209 0599-anti-human-CD158e 0600-anti-human-CD158f 0801-anti-human-CD337 0802-anti-human-CD336 0828-anti-human-CD307d 0829-anti-human-CD307e 0830-anti-human-CD319 0055-anti-human-CD138 0853-anti-human-CLEC12A 0863-anti-human-CD257 0867-anti-human-CD94 0870-anti-human-CD150 0895-anti-mousehuman-Mac2 0896-anti-human-CD85j 0897-anti-human-CD23 0899-anti-human-HLAA2 0901-anti-human-GARP 0902-anti-human-CD328 0908-anti-human-TCRVb13.1 0920-anti-human-CD82 0944-anti-human-CD101 0985-anti-human-CD360 1046-anti-human-CD88 1047-anti-human-HLAF 1048-anti-human-NLRP2 1051-anti-human-Podocalyxin 1052-anti-human-CD224 1056-anti-human-CD258 1057-anti-human-DR3
(Intercept) 0.958845219428612 0.578460932149704 1.23637120071141 1.05081989219606 1.46427140188769 1.71254690545371 1.93945765264071 0.69276510740912 0.44116541014443 2.89585019708419 2.07727852432168 2.78335711136852 0.680743103413946 0.603887810856605 2.9471844701541 3.14242608331611 0.939926683015623 0.777854521272946 1.07668271162458 1.70212154490987 1.04232135575779 2.1404946996526 0.933307966742076 1.37670988632986 1.30196659624942 2.5513301637316 0.785246699616811 4.76435383121017 3.35468034341683 1.52243111549732 2.79847403250801 3.0225072850601 1.24039651897587 1.34074813343967 1.30484285491391 1.55224263052499 2.07682354115555 1.68264609213201 0.612998623468315 1.14479105466178 2.4561581715714 1.15729410242183 2.66007034166225 3.22328887163016 0.939619898607552 0.146906182025294 0.0739735615085419 3.37127076177073 1.29563282698565 2.89282014908545 0.456389256156385 1.10116877971843 1.01076312390047 1.15384735294471 5.34341184212375 0.759008766875403 2.53557710422111 0.995272055327085 3.06445181799256 1.99755677353762 2.04900180669867 0.982538870228587 2.601697566197 0.293790298016294 0.681940347373048 1.07306876919043 2.12333229242251 2.33160092247672 0.80044632302912 2.20331642583876 2.48232252327089 1.68434315132634 2.41200313558099 1.6427399783196 3.05774433138931 2.98416315006585 0.940099116410815 1.80100487306959 2.90934363104694 1.18273090488556 0.766312805802794 6.34601487196504 2.83740209756012 2.08439294875583 2.18856993078003 0.084684881491884 1.39496643426565 0.20937781881263 1.16463319837847 1.53287720826599 0.507214762826379 2.28290925809294 1.1988920462758 3.02263967902984 1.4240613079163 2.4820836430964 1.37289817612804 1.06086882785988 1.92768669823681 1.81763100545727 1.29986569885563 0.755847404168488 1.662114375605 0.355042989645373 1.77474382967633 0.971082157845726 2.36376575889276 3.85979595287366 4.70821285163793 0.991900771600281 1.88218368128969 1.78538014113608 0.548565916355314 0.448738685332033 0.0905847076736681 1.71144853537443 2.57943500126346 0.194736186158893 2.00722664369901 1.36400461866075 1.7865464291886 0.58231507501623 0.358625574598392 0.972658382351574 2.77978612161886 2.37405247629053 1.18147199102755 2.30917633225229 2.75782653132087 2.17352423551162 0.655952345114465 0.931729747655515 0.626002586516167 0.57355322548466 2.78035627545126 1.63569328946458 2.66563191133266 1.14459949651837 1.39243538562189 0.48856207746558 2.00794162352097 1.45841804570788 2.95524717359032 2.58305820153371 2.51271734156176 2.50334254032191 0.727866825369968 1.12991872241282 1.22244481572379 2.20457381863001 0.786451645551294 2.70293514194183 2.7695811748212 1.89162462350442 3.18829466177342 1.59015362429933 2.10191469200255 2.04929790711215 2.68873631109529 2.6563527486162 2.22451563049973 3.5881995222746 1.54573461207762 2.74933159762581 2.52976274050227 2.09621229661363 2.93529335762538 3.04026214744391 2.61583210555262 2.06786861690799
S100A8 0 0 0 0 0.0883341197807544 0 0 0.000342168378157639 0 0 0 0 0 0 0 0.0281735456362737 0 0 0 0.0730912818701251 0 0 0 0 0 0 0 0.0397693876252777 0 0 0.0160131788327914 0 0.0336862721253263 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0115828416481918 0 0 0 0 0 0 0 0 0 0.0366474693596378 0 0 0 0.0122490598835006 0.0665523581911866 0 0 0 0 0 0 0.0170927809785319 0 0 0 0 0 0 0 0.000502774383386929 0 0 0 0 0 0 0 0 0.0178348601260201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0216166739218968 0 0 0.0184704777022709 0 0 0.000612517800808703 0 0.0274684045700925 0 0 0 0 0 0 0 0.01541701109259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0442833348416755 0 0 0 0 0 0 0 0 1.63301843181188e-06 0 0.00475381356186653 0 0 0 0 0 0 0.000556654218834976 0 0
S100A9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0179963507166196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00871762028805677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
S100A12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00816198686918817 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00618014949537278 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00673786289412078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0248069537196946 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0046900705561598 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
LYZ 0 0 0 0 0.0214369468273485 0 0 0 0 0 0 0 0 0 0 0.10235981045065 0 0 0 0.0922936937185587 0 0 0 0 0 0 0 0 0 0 0.0140404004793049 0 0.00496256287967413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00725840840658639 0 0 0 0 0 0 0 0 0.0838576926605001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0270037927964539 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0956768115085461 0 0 0 0 0 0 0 0 0.00760488283789734 0 0 0 0 0 0 0 0 0 0 0
FCN1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000500658512687556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
VCAN 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0149631657123935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MAFB 0 0 0 0 0.0470316303412941 0 0 0 0 0 0 0 0 0 0.0242924432086084 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0749173216802429 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0312064484433218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.114393637375957 0.0160261768693593 0 0 0 0 0.0321904762827283 0 0 0 0 0 0 0 0 0 0 0 0 0.0214929144062112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0531609642176947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CD14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.000205759141901693 0 -0.0586098284409133 0 0 -0.00145786566096242 0 0 0 0 0 0 0 0 0 0 -0.00753682088969139 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0340361699031981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.000332890874652493 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.51237833333634e-06 0 0 0 0 0 0 0 0 -0.00256710813669063 0 0 0 0 0 0 0 -0.167991589093719 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
DUSP6 0 0 0 0 0.15745323900016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0782890116639967 0 0 0 0 0 0 0 -0.0517724795148803 0.0240550353093652 0 0.0514153964332887 0.0593451595246583 0.0330230409650723 0 0 0 0.0150257470611807 0 0 0 0 0 0 0 0 0 0 0 0 0.126670678612156 0 0 0 0 0 0 0 0 0 0 0 0 0.00956262494635506 0 0 0 0 0.0153132978323526 0 0 0 0 0 0 0 0 0.00190790439934878 0 0 0 0 0.0129206753193257 0 0 0 0 0 0 0 0 0 0 0.0464235633990493 0 0 0 0 0.0944577803063786 0 0 0 0 0 0 0 0 0 0 0.0133473571998911 0 0.0403748654504016 0 0 0 0 0.0792757612623068 0 0 0 0 0 0 0 0 0 0 0 0.00172157277282363 0 0 0 0 0 0 0 0 0.0276320868021686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0276871098665139 0 0 0 0 0 0.0065397842027948 0 0 0.172145878644032 0 0 0 0 0 0
