"0005-anti-human-CD80" "0007-anti-human-CD274" "0008-anti-human-CD273" "0009-anti-human-CD275" "0161-anti-human-CD11b" "0021-anti-human-CD252" "0022-anti-human-CD137L" "0023-anti-human-CD155" "0024-anti-human-CD112" "0026-anti-human-CD47" "0027-anti-human-CD70" "0028-anti-human-CD30" "0031-anti-human-CD40" "0032-anti-human-CD154" "0033-anti-human-CD52" "0034-anti-human-CD3" "0046-anti-human-CD8" "0047-anti-human-CD56" "0050-anti-human-CD19" "0052-anti-human-CD33" "0054-anti-human-CD34" "0056-anti-human-CD269" "0060-anti-human-CD90" "0061-anti-human-CD117" "0062-anti-human-CD10" "0063-anti-human-CD45RA" "0064-anti-human-CD123" "0066-anti-human-CD7" "0070-anti-humanmouse-CD49f" "0071-anti-human-CD194" "0072-anti-human-CD4" "0125-anti-human-CD44" "0081-anti-human-CD14" "0083-anti-human-CD16" "0085-anti-human-CD25" "0087-anti-human-CD45RO" "0088-anti-human-CD279" "0089-anti-human-TIGIT" "0100-anti-human-CD20" "0101-anti-human-CD335" "0102-anti-human-CD294" "0123-anti-human-CD326" "0124-anti-human-CD31" "0127-anti-Human-Podoplanin" "0134-anti-human-CD146" "0135-anti-human-CD324" "0136-anti-human-IgM" "0138-anti-human-CD5" "0141-anti-human-CD195" "0142-anti-human-CD32" "0143-anti-human-CD196" "0144-anti-human-CD185" "0145-anti-human-CD103" "0146-anti-human-CD69" "0147-anti-human-CD62L" "0149-anti-human-CD161" "0151-anti-human-CD152" "0152-anti-human-CD223" "0153-anti-human-KLRG1" "0154-anti-human-CD27" "0155-anti-human-CD107a" "0156-anti-human-CD95" "0159-anti-human-HLADR" "0160-anti-human-CD1c" "0162-anti-human-CD64" "0163-anti-human-CD141" "0164-anti-human-CD1d" "0165-anti-human-CD314" "0166-anti-human-CD66b" "0167-anti-human-CD35" "0168-anti-human-CD57-R" "0169-anti-human-CD366" "0170-anti-human-CD272" "0171-anti-humanmouserat-CD278" "0174-anti-human-CD58" "0175-anti-human-CD96" "0176-anti-human-CD39" "0177-anti-human-CD178" "0179-anti-human-CX3CR1" "0180-anti-human-CD24" "0181-anti-human-CD21" "0185-anti-human-CD11a" "0186-anti-human-IgA" "0187-anti-human-CD79b" "0189-anti-human-CD244" "0196-anti-human-CD235ab" "0205-anti-human-CD206" "0206-anti-human-CD169" "0207-anti-human-CD370" "0208-anti-human-XCR1" "0215-anti-human-CD268" "0217-anti-human-CD54" "0218-anti-human-CD62P" "0224-anti-human-TCRab" "0245-anti-human-CD106" "0246-anti-human-CD122" "0247-anti-human-CD267" "0353-anti-human-CD41" "0355-anti-human-CD137" "0356-anti-human-CD254" "0358-anti-human-CD163" "0359-anti-human-CD83" "0360-anti-human-CD357" "0362-anti-human-CD309" "0363-anti-human-CD124" "0366-anti-human-CD184" "0367-anti-human-CD2" "0368-anti-human-CD226" "0369-anti-human-CD29" "0370-anti-human-CD303" "0371-anti-human-CD49b" "0373-anti-human-CD81" "0374-anti-human-CD98" "0375-anti-human-IgGFc" "0384-anti-human-IgD" "0385-anti-human-CD18" "0386-anti-human-CD28" "0387-anti-human-TSLPR" "0389-anti-human-CD38" "0390-anti-human-CD127" "0048-anti-human-CD45" "0392-anti-human-CD15" "0393-anti-human-CD22" "0394-anti-human-CD71" "0395-anti-human-B7H4" "0396-anti-human-CD26" "0397-anti-human-CD193" "0399-anti-human-CD204" "0400-anti-human-CD144" "0402-anti-human-CD1a" "0406-anti-human-CD304" "0407-anti-human-CD36" "0420-anti-human-CD158" "0437-anti-mousehuman-CD207" "0576-anti-human-CD49d" "0577-anti-human-CD73" "0590-anti-human-CD305" "0591-anti-human-LOX1" "0592-anti-human-CD158b" "0594-anti-human-CD133" "0597-anti-human-CD209" "0599-anti-human-CD158e" "0600-anti-human-CD158f" "0801-anti-human-CD337" "0802-anti-human-CD336" "0828-anti-human-CD307d" "0829-anti-human-CD307e" "0830-anti-human-CD319" "0055-anti-human-CD138" "0853-anti-human-CLEC12A" "0863-anti-human-CD257" "0867-anti-human-CD94" "0870-anti-human-CD150" "0895-anti-mousehuman-Mac2" "0896-anti-human-CD85j" "0897-anti-human-CD23" "0899-anti-human-HLAA2" "0901-anti-human-GARP" "0902-anti-human-CD328" "0908-anti-human-TCRVb13.1" "0920-anti-human-CD82" "0944-anti-human-CD101" "0985-anti-human-CD360" "1046-anti-human-CD88" "1047-anti-human-HLAF" "1048-anti-human-NLRP2" "1051-anti-human-Podocalyxin" "1052-anti-human-CD224" "1056-anti-human-CD258" "1057-anti-human-DR3"
"(Intercept)" 0.983394065660628 0.652850672297204 1.09696163252167 0.999092824259271 1.174431915035 1.65036374851863 1.87999253110473 0.269922561541503 0.264508220635148 2.4594477774148 1.73124657723882 2.49502485006542 0.62868919112013 0.767767018177502 3.00466316738788 2.62715927804041 0.929202231132587 0.367957280828366 1.25383269449883 0.997568638833559 0.95373578690783 2.00896175804437 0.904248158927016 1.65873679741145 1.28902815289897 1.69696875366635 0.518151773882802 3.47335404117092 3.34887461001392 1.16591115362588 2.56861651916783 2.78913283442439 1.0182901046865 1.26831381965995 1.05167608792217 1.45200896721158 2.06969977896248 1.612686267352 0.89815398713446 0.918752198353379 2.12204874359827 1.02663867642684 1.84105400401522 3.03406731314696 0.886044131935323 0.110346905254646 0.0552981434785012 3.17241676630049 0.663807167408762 2.91904393924555 0.695206550602904 1.15210974585898 0.891995102430169 1.00886403645901 4.89320288721829 0.545010162016738 2.19895031004612 0.842163903842089 2.40750035006662 1.23303651731689 1.84420088114811 0.792254287902432 2.09837931500118 0.385304178791373 0.453279770557929 1.03539939197171 2.03509303271293 1.68538786471993 0.811662554450234 1.68689075996308 1.4868340753673 1.52049807461239 2.24483868966434 1.23679398246068 2.80229431077626 2.58053337901141 0.446115022228629 1.66273316059426 2.88798245916303 1.18412277080818 0.742682881399993 5.89920082954353 2.77244895654652 1.96536548661206 1.44449624903976 0.07140413716255 1.38335901043688 0.153685621686931 1.35777294827941 1.60507584204103 0.308849127668458 2.08573131150946 1.38332132401294 2.77023828612476 1.31641165937172 2.2014801870618 1.45435694626818 1.0704747184944 1.82892220854051 1.7498323653413 1.06322205677647 0.819625991024224 1.55417716193262 0.268287203173935 1.66052400921205 0.850376179926365 2.4989412588931 3.93880903059842 4.41386726181475 0.900225579583328 2.15532702777399 1.58166500184257 0.408230441584362 0.48336495039417 0.093301500549439 1.39730068064951 2.13820127296833 0.161434812259886 1.38165758836134 1.27965922068281 1.37322728486006 0.444238836610214 0.251565301685292 0.640586373013524 2.48415262738898 2.34627419643733 1.07926449349071 2.19230989952885 2.62679325992308 2.05566794924587 0.813443800084162 0.548784512613947 1.15330099814393 0.456987174253326 2.26330345231861 1.16689946535001 1.96081507605729 1.05438487560598 0.700869185774163 0.478963023624282 1.71776093036346 1.14178099524922 2.90148815456297 2.49503287143945 2.33766551042805 2.36619858885617 0.744053036817809 1.14131026011816 1.32731041567545 1.47055505981006 0.581226715062307 2.36975029845051 2.74787997227977 1.89076152484502 2.82000174926862 1.53001396973641 1.97624868662596 2.05671843797896 1.96461868693152 2.49840814348722 2.24579632079029 2.96042483335766 1.42877556200123 2.75724887547302 2.10441827238544 1.9241875480414 3.08632784691758 2.72929051843878 2.63827837026427 1.67247945150116
"S100A8" 0.0324939730287084 0.0469190369991503 0.0398618553240902 0.0409510704108911 0.0393565348778591 0.0573283423509707 0.0776575606267899 0 0.020399046643847 0.0486991053161059 0.0242161896539648 0.0457646177026967 0.0257982724593448 0.0342433547520168 0 0.0447957366978744 0.0532526597004712 0 0.0978613411575422 0.0567092983755949 0.0357421775038186 0.0501713853883214 0.0149424700869229 0.0127446696780603 0.0655506085025874 0.0115722486746903 0.0211480258824319 0.0299676715779423 0.00923851500352267 0.0587338271369614 0 0 0.0315590412738111 0.00743122787948412 0.000858386224111394 0.0213771392795471 0.0280908046971081 0.0455611058152513 0.0401345786080756 0.00598236797165862 0.0616117701790384 0.0101219093300932 0 0.0493841375918849 0 0.000955654548833768 0 0 0.0412117658759795 0.0172355442962202 0.0275016141565987 0.0564462279070997 0.0194575419298347 0.0426081064562341 0 0 0.0314620168218661 0.0159375317532845 0.0450682172780627 0 0.0550151162554154 0.0177051898201333 0 0 0.0232401208029158 0 0.0654984369481121 0.0504050792962419 0.0775777736765554 0.0725061964185409 0.0165988638740607 0.0482101555666564 0.0556948742504155 0.0575108060994528 0.0624635408110634 0.0410716903897756 0.00189396513110248 0.0524614511235493 0.0305472920558755 0.0484038286286074 0 0.000524257944036231 0.0523549688569003 0.0331716176240279 0.0246007808190288 0 0.0245337997351224 0.00141929040866832 0.0829075564401731 0.0460142947682802 0 0 0.0914430302203783 0.0111450853294569 0.0334735257574466 0.0252411869962096 0.0433491634183602 0.0755548338592274 0.0242086572760508 0.054941122163092 0.00888346895551233 0.0489526627182134 0.018355411872414 0.0119098571297971 0.0377938270603199 0.0507164662109291 0.0471266454571422 0.0576138231024532 0.0237022728637518 0.0138985213115985 0.0833777335588445 0.0157563043034205 0.0161993397511343 0.00360328980577069 0 0 0.0378007500867027 0 0.0236897315447442 0.0184710647845603 0 0.0214893860735288 0.0155684246625951 0 0.0342691563069542 0.0200281553868535 0.0673575294255968 0.0358481244828549 0.0485377864282969 0.0731841758252809 0.0258466658268475 0.0406939099353913 0.0310501720012318 0.0251861530557216 0 0.0094550890387397 0.00443043994969342 0.0132870879423193 0.015180575091435 0.0153222730488722 0.0398847526447043 0.0107911357531143 0.0386104338756604 0.0271052910110783 0.0194663438096728 0.0346886627459937 0.0217390591543132 0.0516781383798332 0.0570922917749806 0.0230003534022845 0.0203326855997777 0.00625537306145048 0.037131652782305 0.0377995642442227 0.0484916574355124 0.0472242777529072 0.049218723328306 0.0989270087150095 0.0363187003503626 0.0722733495397845 0.0354573552609048 0.0109458895589117 0.0365985281051646 0.0347381904983917 0.0552975969531465 0.0497706200006123 0.0455184943216539 0.0677948141184629 0.0751400062164963 0.0457309775948497
"S100A9" 0 0 0 0 0.0473326131797131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0511315233209829 0 0 0 0 0 0 0 0 0.00425821223961822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0029489689683439 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00238559700665857 0 0 0 0 0.00295322491620358 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0406646646849078 0 0 0 0 0.0818555917816838 0 0 0 0 0 0 0 0 0.0239260196748956 0 0.0739247515792021 0 0 0 0 0 0 0 0 0 0.000947112091123336 0 0 0 0 0 0 0 0 0 0 0 0 0.0680470480527039 0 0 0 0 0.0300167541061671 0 0 0 0 0 0 0 0 0 0 0 0 0.0562125972522511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"S100A12" 0 0 0 0.000165334132237192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00454328201931997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LYZ" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00172848486041011 0 0 0 0 0 0 0 0 0 0 0.0375186393102237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0150734449467778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0101174936217992 0 0 0 0 0.0576422413472775 0 0 0 0 0 0 0 0 0.081503338808486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0205990567029945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0238970798950666 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"FCN1" 0 0 0 0 0 0 0 0 0 -0.0162527094324937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0141371832905471 0 -0.0322071844500492 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"VCAN" 0 0 0 0 -0.00123911362962338 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.138356119297205 0 0 0 0 0 0 -0.0806859766324225 0 0 0 0 0 -0.0201730838804173 0 -0.00156525065252723 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0394641000203133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0711943422178253 0 0 0 0 0 0 0 0 0 -7.56279976973854e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0596015257676595 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MAFB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00296796882230795 -0.0511164407389107 0 -0.0666107848707887 0 0 0 0 0 0 -0.039969522989623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0846644947965654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0554313520307913 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CD14" 0 0 0 0 0 0 0 -0.0154544433532765 0 -0.0356918988862283 0 0 0 0 0 0 0 0 -0.307564005510816 0 0 0 0 0 0 0 -0.0048045076615776 0 0 -0.217272271240616 0 0 0 -0.194402625224119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0830978405471031 0 0 0 0 0 0 0 -0.000231284937959146 0 0 0 0 0 0 0 0 0 0 0 -0.0690057382263105 0 0 0 0 0 0 -0.00339012847840114 -0.0104548914543871 0 0 -0.0397916238363575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.03018279649918 -0.159305781021333 -0.120034956211309 0 0 0 0 0 0 0 -0.0299847120040696 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0415040096276195 0 0 0 -0.0151113354931237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DUSP6" 0 0 0 0 0.0731719737973232 0 0 0 0 0.111330112152159 0 0.00571178947375124 0 0 0 0 0 0 0 0.107182677650117 0 0 0 0.00482849728796283 0 0 0 0 0.194475511773249 0 0 0.102807462671046 0.106703313492749 0.000342781902506664 0 0 0 0.0315094681935401 0 0 0.0586119528171453 0 0 0 0 0 0 0 0 0 0 0 0 0.00508819906569562 0 0 0 0 0 0 0 0 0.0304576430170542 0 8.39215494315869e-05 0 0 0 0 0 0 0 0 0 0 0 0.0710811557597749 0 0.0100887562537558 0 0 0.0433648635382785 0 0 0 0 0 0 0 0 0 0.159876428581144 0.0431099940214174 0 0 0 0 0.0175554946491985 0 0 0 0 0 0 0 0 0 0.143423722984408 0.0744011308595728 0 0.119108602210957 0 0 0.00635546485773092 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0260594508766342 0 0 0 0 0.05478679527285 0 0 0 0 0 0 0 0 0 0 0 0 0.0306259116725341 0 0 0 0 0.0407069870415308 0 0 0 0 0 0 0 0 0.0805433442152286 0 0 0 0 0 0
