0005-anti-human-CD80 0007-anti-human-CD274 0008-anti-human-CD273 0009-anti-human-CD275 0161-anti-human-CD11b 0021-anti-human-CD252 0022-anti-human-CD137L 0023-anti-human-CD155 0024-anti-human-CD112 0026-anti-human-CD47 0027-anti-human-CD70 0028-anti-human-CD30 0031-anti-human-CD40 0032-anti-human-CD154 0033-anti-human-CD52 0034-anti-human-CD3 0046-anti-human-CD8 0047-anti-human-CD56 0050-anti-human-CD19 0052-anti-human-CD33 0054-anti-human-CD34 0056-anti-human-CD269 0060-anti-human-CD90 0061-anti-human-CD117 0062-anti-human-CD10 0063-anti-human-CD45RA 0064-anti-human-CD123 0066-anti-human-CD7 0070-anti-humanmouse-CD49f 0071-anti-human-CD194 0072-anti-human-CD4 0125-anti-human-CD44 0081-anti-human-CD14 0083-anti-human-CD16 0085-anti-human-CD25 0087-anti-human-CD45RO 0088-anti-human-CD279 0089-anti-human-TIGIT 0100-anti-human-CD20 0101-anti-human-CD335 0102-anti-human-CD294 0123-anti-human-CD326 0124-anti-human-CD31 0127-anti-Human-Podoplanin 0134-anti-human-CD146 0135-anti-human-CD324 0136-anti-human-IgM 0138-anti-human-CD5 0141-anti-human-CD195 0142-anti-human-CD32 0143-anti-human-CD196 0144-anti-human-CD185 0145-anti-human-CD103 0146-anti-human-CD69 0147-anti-human-CD62L 0149-anti-human-CD161 0151-anti-human-CD152 0152-anti-human-CD223 0153-anti-human-KLRG1 0154-anti-human-CD27 0155-anti-human-CD107a 0156-anti-human-CD95 0159-anti-human-HLADR 0160-anti-human-CD1c 0162-anti-human-CD64 0163-anti-human-CD141 0164-anti-human-CD1d 0165-anti-human-CD314 0166-anti-human-CD66b 0167-anti-human-CD35 0168-anti-human-CD57-R 0169-anti-human-CD366 0170-anti-human-CD272 0171-anti-humanmouserat-CD278 0174-anti-human-CD58 0175-anti-human-CD96 0176-anti-human-CD39 0177-anti-human-CD178 0179-anti-human-CX3CR1 0180-anti-human-CD24 0181-anti-human-CD21 0185-anti-human-CD11a 0186-anti-human-IgA 0187-anti-human-CD79b 0189-anti-human-CD244 0196-anti-human-CD235ab 0205-anti-human-CD206 0206-anti-human-CD169 0207-anti-human-CD370 0208-anti-human-XCR1 0215-anti-human-CD268 0217-anti-human-CD54 0218-anti-human-CD62P 0224-anti-human-TCRab 0245-anti-human-CD106 0246-anti-human-CD122 0247-anti-human-CD267 0353-anti-human-CD41 0355-anti-human-CD137 0356-anti-human-CD254 0358-anti-human-CD163 0359-anti-human-CD83 0360-anti-human-CD357 0362-anti-human-CD309 0363-anti-human-CD124 0366-anti-human-CD184 0367-anti-human-CD2 0368-anti-human-CD226 0369-anti-human-CD29 0370-anti-human-CD303 0371-anti-human-CD49b 0373-anti-human-CD81 0374-anti-human-CD98 0375-anti-human-IgGFc 0384-anti-human-IgD 0385-anti-human-CD18 0386-anti-human-CD28 0387-anti-human-TSLPR 0389-anti-human-CD38 0390-anti-human-CD127 0048-anti-human-CD45 0392-anti-human-CD15 0393-anti-human-CD22 0394-anti-human-CD71 0395-anti-human-B7H4 0396-anti-human-CD26 0397-anti-human-CD193 0399-anti-human-CD204 0400-anti-human-CD144 0402-anti-human-CD1a 0406-anti-human-CD304 0407-anti-human-CD36 0420-anti-human-CD158 0437-anti-mousehuman-CD207 0576-anti-human-CD49d 0577-anti-human-CD73 0590-anti-human-CD305 0591-anti-human-LOX1 0592-anti-human-CD158b 0594-anti-human-CD133 0597-anti-human-CD209 0599-anti-human-CD158e 0600-anti-human-CD158f 0801-anti-human-CD337 0802-anti-human-CD336 0828-anti-human-CD307d 0829-anti-human-CD307e 0830-anti-human-CD319 0055-anti-human-CD138 0853-anti-human-CLEC12A 0863-anti-human-CD257 0867-anti-human-CD94 0870-anti-human-CD150 0895-anti-mousehuman-Mac2 0896-anti-human-CD85j 0897-anti-human-CD23 0899-anti-human-HLAA2 0901-anti-human-GARP 0902-anti-human-CD328 0908-anti-human-TCRVb13.1 0920-anti-human-CD82 0944-anti-human-CD101 0985-anti-human-CD360 1046-anti-human-CD88 1047-anti-human-HLAF 1048-anti-human-NLRP2 1051-anti-human-Podocalyxin 1052-anti-human-CD224 1056-anti-human-CD258 1057-anti-human-DR3
(Intercept) 0.795222160084192 0.4666152273703 1.0372201737516 0.839742831652486 1.30485384681768 1.44632859096478 1.64995316644585 0.419815434298024 0.336699005413852 2.81427797425587 1.92520590087221 2.53394073446242 0.436976562364006 0.486730845709621 2.81702851869206 3.10396587749716 1.28617763692478 0.686729996008313 0.894935801320629 1.63371713899752 0.819668966305795 1.89721930171892 0.823991153736902 1.17588619271909 1.06992305373872 2.16731620997337 0.591455726203201 4.72013333515066 3.11940908137315 1.5889528786325 2.75989069392049 3.22923246616411 1.03881881180002 1.31958072522632 1.13443836117317 1.33135717981799 2.08489691870776 1.40689340426073 0.434529196041613 1.00671449853649 2.1005680100101 0.937983414476497 2.46902828871641 2.86979201027881 0.787970680099797 0.119902850376472 0.071503669097803 3.10451014242556 1.07601385260865 2.7895309341101 0.473641140597198 0.862716372931019 0.861731320864501 0.956471901965248 5.75662917568166 0.649118166648191 2.40557254344815 0.801547156200051 3.116119240628 1.83871806054039 1.86135663334161 1.08846249748258 2.31750980654207 0.227971393239205 0.468178118291875 0.907667116317747 1.90150644279112 2.30946849846941 0.573010528937349 1.89802291087127 2.48623043500702 1.4604350292297 2.10417357690747 1.78940928882602 2.91551483095369 2.6592345632703 0.586846210622882 1.496732894107 2.6439076308069 0.914674716662003 0.529656668922147 6.26220656161843 2.4777216560261 1.85023699525387 2.00737948088711 0.084684881491884 1.18811224903959 0.174343140617974 0.85972289338947 1.27138937288901 0.39406196610526 2.12553243002059 0.939437380717999 2.7478975158471 1.16969834602666 2.40441643866107 1.13295619356073 0.790592699157859 1.66878513950018 1.52459736403711 1.09428041309386 0.611780511144384 1.42104664555595 0.26895471609812 1.54103923857581 0.738535578045286 2.49111857829922 3.9474660463795 4.6199076213645 0.707704681011268 1.52315727589395 1.67884190104817 0.41494036074674 0.3729988189374 0.0877158403027945 1.63241327219024 2.40317871866122 0.1670917175621 2.09150242369107 1.10634571819261 1.62204066931621 0.435638937079515 0.178269854725783 0.929945863376414 2.4863316983997 2.14600816583536 0.863893601489268 2.11526716210869 2.50430901373888 1.93090543102664 0.516683788895653 0.738374489397625 0.500556898741918 0.411245493993908 2.58594197752916 1.24631959280786 2.53717067009515 0.948915275591578 1.06839650530354 0.371574616377992 1.89811335286347 1.28716675525827 2.64255613508403 2.39441344797872 2.24635452477763 2.19376915998951 0.606454443143993 0.884718544600504 0.944206606010204 1.99913371100559 0.610436254944259 2.62254491590701 2.56585906856836 1.63513718499895 2.95999407355333 1.39447247693463 1.78661162440682 1.78760501474186 2.6186262883265 2.28428169872226 2.13403719686924 3.29027049771456 1.30223140490977 2.48670325125329 2.28208123640889 1.81574311629428 2.65403454081775 3.1310043911603 2.21263969346775 1.82434548242858
JCHAIN 0 0 0 0 0 0 0.0705545417692715 0 0 0.0231212382428002 0.108042321715263 0.130132690794065 0 0 0.151851546644967 0 0.202134025080065 0 0.392057683375664 -0.0689026187429031 0 0.0814233779961987 0 0 0 0.506462540262696 0 0 0.073222451456218 0 -0.0232703924638491 0.204133410007156 0 0 0.203391035978912 0 0 0.0452931876575482 0.217097548922627 0 0 0 0.169176382384634 0.0965132119275423 0 0 0.598136782653089 0.0920194475898604 0 0.644069995791291 0.0217852978737182 0 0 0.102275789752346 0 0 0.182058902264957 0 0 0.122867433936651 0 0 0 0.261049392175647 0 0 0 0.0254271978150251 0.0216798789988716 0.572185059342991 0 0 0 0 0 0 0 0.0767909870291046 0.011332911250357 0.354629787304814 0.172991012376378 0 0.017713864253329 0.229497789671437 0 0 0 0 0 0.0563883709360061 0.034565685446231 0.121203530003522 0 0 0.099365840938541 0 0.23490289884654 0 0 0.0787118095859614 0 0 0.0478723089412837 0 0 0 0 0.131502849050749 0.0948121087839689 0 0 0 0 0 0 0 0 0 0 0 0.0136706980754738 0 0 -0.255292107541226 0.138462803222424 0 0 0.00696896570012005 0.0098155124743459 0 0 0 0 0 0.0838576304171898 0 0 0 0 0 0.0301932117276689 0.0484934215319598 0.0951737412591883 0 0 0.142980738562298 0 0 0 0 0 0 0 0 0.196146257453267 0 0.0246940441364189 0.149675937117892 0 0 0.285833235192605 0 0 0 0.124896515819334 0.0603482256865033 0 0 0.0546429966227604 0.0258384359813109
IGHA1 0 0 0.0217923405247785 0 0 0 0 0 0 0.207880123915517 0.0615654641240433 0 0 0 0.28597608277545 0 0.274207207096879 0 0.15025298751186 0 0 0 0 0 0 0.35482693834765 0 0 0.352879371708819 0 0 0.270991809158912 0 0.204705013424642 0.0202330093780926 0.0293174338047982 0 0 0 0.00576854796662095 0 0.0833441944593744 0.140977988280786 0.014154663719397 0 0 0 0.108287822284464 0 0 0 0 0 0 -0.00661675433952748 0 0 0 0 0.237300302409624 0 0.0556269109031736 0 0 0 0 0 0.134916236814043 0 0 0 0 0 0 0 0 0.158066937973489 0 0 0 0 0 0 0 0.0116760440447316 0 0 0 0 0 0 0.138575483435557 0 0 0 0 0 0 0 0 0.00593667977988565 0 0 0 0 0 0 0.0232841550106247 0.146439599494596 0 0 0.13369194928064 0 0 0 0 0.0910478570686265 0 0 0 0 0 0 0 0 0.101273055835587 0 0 0 0 0 0 0 0 0.306950453447038 0 0 0 0 0 0.037005319263083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0089685142859968 0 0 0 0 0 0 0 0 0
IGHV4-34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0256860973219759 0 0.0198832801543474 0 0.00968992191952213 0 0 0 0 0 0 -0.0141226069015365 0.0314708327502876 0.0134393701083832 0 0.0454438115780577 0.000715531768861196 -0.0463238470277634 0 0 0 0 -0.00563593934851172 0 0 0 0 0 0 0 0 0 0 0 0 0.0037026777780682 0 0 0 -0.0213417618413713 0.0149099623979524 0 0 0 -0.0106403523886883 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0542084916879138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0211566145375001 0 0 0 0 0 0 0 0 0 0.00165779705608504 0 0 -0.014006555326619 0 0 0 0 0.011454195872547 0 0 0 -0.0263973097959784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0212742705635941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00851897593675942 0 0 0 0 0 0 0 0 0
IGKC 0 0 0 0 0.0186150225513924 0 0 0 0 0.221285462371208 0 0.0319251448609019 0.0655444495333686 0 0.186121792925081 0.226729292314387 0.229248011433846 0 0.237967527713609 0 0.0084597171675427 0 0 0 0 0 0.013381282175917 0 0 0 0 0 0 0.0485189287805943 0 0 0.0137378563152157 0 0.141035047678125 0 0 0 0 0.00346365303364789 0 0 0.127981777977977 0 0 0.288069484574093 0.0453670912890868 0.0883133464175609 0 0.0360208738637039 0.114853172953891 0 0 0.0106632685702841 0.0644581708741029 0 0 0 0 0 0 0 0 0.0262838673666296 0.000217138356312805 0.127315977362627 0 0 0 0 0 0 0 0 0 0.0446830369301309 0.0530524370629893 0 0 0.0189420845823722 0 0 0 0 0 0.0285873289251205 0.131096849593402 0 0 0 0 0.0837815769689066 0 0 0.0878975083051825 0 0 0 0 0 0.0428004415433417 0 0.115842722384496 0 0 0 0 0 0 0 0.0640620040481159 0 0 0 0 0 0.0909276943919626 0 0.117694410356023 0 0 0.0635127592982762 0 0 0.0314444220237133 0.0368416781466466 0 0 0 0 0 0 0.268518299283229 0.000903910255109178 0 0 0 0.0330976261183846 0.0266897204985614 0 0 0.0197285664001879 0 0 0 0 0 0.205321100415948 0 0.113412729419478 0 0.00521476772158444 0.0819212911430001 0 0 0 0.270784945718032 0 0.010572374312194 0 0.057453344523316 0.0270741174739812 0 0 0.0270904144966256 0
IGHG1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.144088176458236 -0.145434347513471 -0.103058497428437 0 0 0 0 0 0 0 0 0.110405202854628 0 0 0 0 -0.277065950785236 0.263480143613256 0 0.0911179095307554 0.0298040632065443 0 0 0 0 0 0 0 0 0 0 0 0 -0.322039083006057 0 0 0 0 0 0 -0.347017855668738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.177610410310593 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.245157157890301 0 0 0.298234518396688 0 0 0 0.0781406730130645 0 0 0 0 0 -0.225633553923065 0 0 0 0 -0.0646752428016283 0 0 0 0 0 0 -0.537538082506263 0 -0.112791769689547 0 0 -0.612323911163443 0 0 0 0 0 0 0 0 0 0 0 -0.00284977525325838 -0.287123399799668 0 0 0 0 0 0 0 0 0 0 0 0 0.0235755742649895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
IGLC2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.036064499042888 0 0 0 0 0 0.00854451175004747 0 0.0408613444660338 -0.223666378466712 0 -0.00387642294415232 -0.013085790783127 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012386997349026 0 0.0774923757547296 0.183209628674923 0 0 0 0 0 0 0 0 0.0270725586010954 0 0 0 0 0 0.0801550246178863 0 0 0 -0.00283175527278217 0 0 0 0 0 0 0.0751395056756802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.108292925561968 0 0 0 0 0 0 0 0 0 0 0 0.0568075055476706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05753528710323 0 0 0 0 0 0 0.0670504732639525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.023983683850642 0 0.000975628422135789 0 0 0 0 0 0 0
IGKV4-1 0 0 0 0 0 0 0 0 0 0.0101016239735093 0.0335831254034551 0.0214890115977683 0 0 0.0257787194567661 0.0551461714196549 0 0 0.0173918675924686 -0.0054060599106093 0 0 0 0 0.0280896380573934 0.0280476335160098 0.00552670896466824 0.0319910362740847 0 0 0.0602252820114998 0.0506866989323191 0 0.00574370881716644 0.0228094399235739 0 0.0255425649140715 0 0 0 0 0 0.0387129207400174 0 0 0 0 0.0656590339000524 0.0307315877738031 0.0403628439144705 0 0 0 0 0.0275518562477576 0 0.0254903725014343 0 0.00745080319331197 0.0420180925975446 0 0.00519016720808953 0.00613774785605351 0 0 0 0 0.0141726629975766 0.0545001597716378 0 0 0 0 0.0241801480258155 0 0.00741280403439498 0 0 0.00560663863299834 0.0364542811160811 0.00390911424373393 0.0225023268740695 0 0.0108663728123628 0.014145346204412 0 0 0 0 0 0 0.0565706354474323 0 0.00594752066948289 0.00623005059682636 0.00620422135256897 0 0 0 0 0 0 0 0 0 0 0.0458405961824946 0.0224071890637369 0.0329830937863293 0 0 0.0136292438241238 0 0 0 0.022442799665375 0.0277473374135028 0 0.0114438190815652 0 0.0341772906612334 0 0 -0.0134342886423937 0 0.00761090195887656 0 0.00309941401048257 0 0.00945459666815589 0 0 0 0 0.0206473058419638 0 0.000676726816227867 0 0 0 0.0155660962968026 0.00160098155812481 0 0.0197577657060865 0 0 0 0 0 0.0279298094308462 0 0.0423032570105506 0.00363167128664699 0 0 0 0 0.00309889158452837 0.0471034963641654 0 0.0349837001231662 0 0 0 0 0 0 0.00527697844855782 0 0
MZB1 0.0156700740968222 0 0 0 0 0 0 0 0 0.135687239528126 0 0 0 0 0.0699493278388823 0.0139134610867704 0.109853049783544 0.00895865901056489 0.260550865296363 -0.114079400338331 0.0854341877550492 0 0 0 0.214598058129075 0 0 0 0.0111321742036693 0 -0.0391698985576482 0 0 0 0.0526385630765042 0 0.0668701174742971 0 0.063192708369766 0 0 0 0 0.0950585059072358 0 0 0 0.244818640331844 0.0305053803602496 0 0.333513582529061 0.20003591262613 0 0 0.382486916086241 0.101363187215149 0 0.0724192800355953 0.270586342230479 0.210574422857044 0 0 0 0 0 0 0 0.0749158733116501 0.0682209292191454 0 0 0 0.127725608938132 0 0.00415132246153761 0 0 0 0 0 0.0469653028519036 0 0 0.177282111921944 0 0 0.0267903916337826 0 0 0 0 0 0 0 0 0.0373095015434306 0.032637296400637 0 0 0 0 0 0 0 0 0 0.0484825205540693 0.118551224323658 0.158024601633129 0 0 0.0956112374359106 0 0 0 0 0 0 0.0375880140970901 0 0.0383949568770675 0 0 0 0 0 0 0.000781876210039048 0.0381603358602881 0.122841144122821 0 0 0 0 0 0 0 0 0 0 0.044326248872911 0.0118969466945289 0.0450505039759084 0.098115825815082 0 0 0 0 0 0 0 0 0.102490876664679 0 0 0 0.16930280869092 0.126776255867723 0.0884418611073163 0 0.128344044270284 0 0.1207750732448 0.0547041500565952 0 0.177816077137596 0 0 0 0
IGLC3 0 0 0 0 0 0 0 0 0 0.101912335817366 0.0364784782270029 0 0 0 0 0 0.0145665734234444 0 0 -0.0433684720408044 0 0 0 0 0 0 0.00652979273686259 0 0 0 -0.0102819341677618 0.189177258464225 0 0 0 0 0 0 0.0268121320135365 0 0.00518092093793683 0 0 0 0 0 0 0.0784251759049343 0 0.101544233458353 0.112837560647334 0.0281573215372736 0 0.0208811492383219 0 0 0 0 0 0.0568468501616941 0 0 0.122992455926037 0 0 0 0 0 0 0.1997347316589 0 0 0.0244995044060518 0 0 0 0.0820355398785658 0 0.0543540823042584 0 0.152938832559347 0 0 0.00735476159686761 0 0 0 0 0 0 0.0631945332379981 0.0737660603194902 0 0 0 0.222078018703795 0 0 0 0 0 0 0 0 0 0 0 0.0302783036044998 0 0 0 0 0.0397282161446195 0 0.116826687705928 0 0 0 0.0211487338865126 0 0.0245530575852772 0 0 -0.0167309810517705 0 0.0698879576003431 0 0 0 0 0 0 0 0 0 0.113927306588366 0.0260585506143344 0 0 0 0 0 0.182913347226361 0 0.0299930818078883 0 0 0 0 0 0 0.0390340289456288 0 0 0 0.0745503575059354 0 0 0 0 0 0 0 0.0545469737915686 0 0 0 0 0 0
