0032-anti-human-CD154 0072-anti-human-CD4 0047-anti-human-CD56 0034-anti-human-CD3 0050-anti-human-CD19 0081-anti-human-CD14 0046-anti-human-CD8 0083-anti-human-CD16 0390-anti-human-CD127
(Intercept) 0.811943971285308 1.27750008029643 1.06695679841263 1.33558112123076 0.953048604938148 0.989101521809482 0.818800595145395 1.2805257966266 0.892091251909554
CCL5 0.00520615627530866 0.106698833720176 0.0107250264087843 0.042519007511017 0.0770374136502074 0.0224830693892465 0 0.0796192496580838 0.0226377983391531
CD8A 0 -0.283038688819891 0 -0.0310345288522856 -0.0206855597910268 0 0.561393753932127 -0.00444861075923459 0
CD8B 0 -0.329815470223397 -0.0245030285245869 -0.0566777435190995 0 0 0.302735188840026 0 0.00250962601251643
GZMH 0 0 0 0.152012706375038 -0.0370595095395604 -0.00231790227316685 0 -0.199426777684668 0
NKG7 0 0 0.0976810596713761 0.166302671310204 0 0 0.0463915822927433 0 0
CST7 0 0.0948135438520499 0 0.0480342789917271 0.00768272130910581 0 0 0.0004047228371818 0
GZMK 0 -0.0781130061671985 0.0114941252128744 -0.0154382628123824 -0.00102818081738903 -0.00405715169436453 0.00408679461266856 -0.0880170901294802 0
GZMA 0 0.0133424970946202 0 0 0 0 0 0 0
CTSW 0 -0.159053594726576 0 -0.0839500363780491 0 0 0 -0.0242143964641292 0
DUSP2 0 0.034600902309808 0 0.0692848773520495 0.0263831227470094 0.00237027292796055 0.00563590175703825 0.133478628643453 0
GNLY 0 0.0773496801645317 0.0486709838539585 0.00322406838982743 0 0 0 0.087156519596162 0
GZMM 0 0 0 0 -0.00361144755635457 0 0 0 0
IL32 0 0 0 0.0652315980405117 0 0 0 0.0719804734898668 0
LYAR 0 -0.0860387955041866 0 -0.133250820028155 -0.0819178713125234 0.0166324871386302 0.266126911713613 0 0.0311315838159869
CD3E 0 0 0.00525558764891681 -0.0635092392123134 0 0 0 0.00749773243905408 0
CD3D 0 0 0 0.0238055126297362 0 0 0.0375494501468012 -0.17032687877422 0
CD3G 0 0 -0.128135606309216 0.337799133063184 0 0 0 -0.142247289292896 0
FGFBP2 0 0 0 0 0 0 0 0 0
CMC1 0 0.305009732037582 0 0.0826042759536268 0 0 0 0.0876142188937757 0
C12orf75 0 -0.18897378405306 -0.0223795449689418 0.00524145252702686 -0.0445387731940633 -0.00904153408235555 0.0324213237792822 -0.110962972079131 0
KLRD1 0 -0.0969231264684323 0.00322828025967115 -0.113889263704274 0 0 0 0 0
KLRG1 0 -0.0358359981610822 0 0 -0.00857606461349796 -0.0320723961958835 0 -0.188776461430957 0
GZMB 0 0.0677131134551149 0 0 0 0 0 0.11768862178023 0
SYNE2 0 0.502409317673689 0.0453680781204189 0 0 0 0 0 0
HOPX 0 -0.069739947812126 0 -0.116339715966849 0 0 0 0 0
IFITM1 0 0.00554469383407578 0 0.0535310710495796 0 0 0 0 0
LITAF 0 0.374472249540884 0 0.341421536535231 0.109380831959456 0.0642821649676156 0 0.140450996841002 0
CD99 0 0 0 0 -0.00349607458358332 0 -0.0475849504876049 0 0
HCST 0 -0.214059288375636 0 0 0 0 0 -0.21829594703375 0
TUBA4A 0.132372455782077 0.537895316673167 0 0.804999233673569 0.375070435623668 0.186419349240382 0 0.333488822692993 0
LTB 0.00924572756971646 0.0745100666714271 0.027585480250139 0.0831524487090912 0 0 0.0133025328562423 0.151582119235168 0.0336040298711927
IL7R 0 -0.0296675728870749 0.0185809485133067 -0.0285220748211721 0 0.00868302902904638 0.0528846035109174 0.0772394527236473 0.0414450311023042
MAL 0 0.0476677017138468 0 -0.0583677396903319 -0.138087117118585 0 0 0 0.00782239716560159
NOSIP 0 0.0206879497262045 0 0 0 0 0 0 0
LDHB 0 0.012816589515359 0.0769973704496447 0 0.0742508468504883 0.0378154744830956 0 0.0691147979109915 0
TCF7 0 0.144492621898893 0 0.20918299074094 0 0.00824533697137779 0 0 0
FLT3LG 0 0 0 0.0772763234967719 -0.150611749043493 0 0 0 0.0809339391467199
LEPROTL1 0 0.223122590840004 0 0.410990104298996 0 0 0 0.478638370678801 0
LEF1 0 -0.0565529030141455 0 0.000900476502984974 -4.107489287e-06 0 0.0617476846365739 -0.0170839564721286 0
SARAF 0 0 0 -0.0979586429410312 0 0 0 0 0
PIK3IP1 0 0.231607957120883 0.0302323195938578 0.153329029105837 0.0108857643126394 5.84339049849065e-05 0 0.0322293868607062 0
ZFP36L2 0 0 0 -0.167812047154768 0 0 0 0 0
TNFAIP3 0.0256585979179135 0 0.0624162706156979 0 0 0.00295350660976926 0 0 0.117801110820384
JUNB -0.0122293727620387 -0.260137541178804 -0.0665879222748381 0 -0.177411299667531 -0.0401887928329592 0 -0.206061053327927 0
RCAN3 0 0.153847236508324 -0.0377276955165509 0 0.171372143957249 0 0 -0.350736460372975 0
CAMK4 0 -0.110320671804045 -0.0886433257240554 -0.0690937605461665 0 0 0 -0.130780381122279 0
RPS12 0 -0.0779090097039506 -0.0496689460759186 -0.190342841134501 0 0 -0.00934092276292605 -1.79157579212902e-05 -9.55217938368886e-05
C12orf57 0 0.18315960669427 0 0.183868420292926 0.132869234470854 0 0 0.108002965847314 0
CCR7 0 0 0 0.0207070952896805 0 0 0 -0.00415168705575751 0
DNAJB1 0 0 0 0 0 0 0 0 0
GIMAP7 0 0.10359191950997 0 0 0.0559395296621443 0.00333121648907321 -0.0128873354480801 0.0633625198295837 0
INPP4B 0 -0.27714836048983 0 -0.243090219682696 -0.0846278847636283 0 0 -3.22523277499755e-05 0
