0032-anti-human-CD154 0072-anti-human-CD4 0047-anti-human-CD56 0034-anti-human-CD3 0050-anti-human-CD19 0081-anti-human-CD14 0046-anti-human-CD8 0083-anti-human-CD16 0390-anti-human-CD127
(Intercept) 0.716479191865345 2.09945035732475 1.32461842549104 2.0201519517608 1.16901311016127 1.05463892053553 0.853055861893984 1.9936875994523 0.964579066176422
JCHAIN 0 0.0206423441436382 0 0.0722586054544914 0.405618317780188 0.0880108438229273 0 0.0586767046275743 0.0195797848115292
IGHA1 0.0210172050951113 0.0189031783883975 0.0251964656323876 0 0.199703218914499 0.0179851434332734 0 0.0154339313516109 0.0532333631079667
IGHV4-34 0 0 0 0.00588744913933372 0.0661092846470654 -0.000195345415364394 0 0.00177667255553781 0
IGKC 0 0.119364400658572 0 0.237866557047639 0 0 0 -0.0486648565714191 0
IGHG1 0 0 0 0 0.365146047547299 0.0809204064742108 0 0.341744936272458 0.067938222609276
IGLC2 0 0 -0.0019988405971069 0 0.129428836927677 0 0 -0.0113920278950405 0
IGKV4-1 0 -0.0163222651807032 0 -0.0116449979184055 -0.000700271388057867 0 0 0 0
MZB1 0 0.0635982756929041 0 0.397612380952129 0 0 0 -0.0649104658124344 0
IGLC3 0 -0.0831242342299366 0 -0.0474955611780407 0.175044625226665 0 0 -0.0831852825468023 -0.0148228193608632
CCL4L2 0 -0.0678785250572928 0 -0.00110594004834991 0 0.0320712801211758 0 0.0619280554119447 0
IGLL5 0 -0.0534563853502212 -0.0235623941888619 -0.0610599418342833 0.103165977054415 -0.0685197685845706 0 -0.0981678151296453 0
IGKV3-20 0.00338562068794305 0.00513813181912577 0 0.0103049097341768 0 0.000990887839913051 0 0 0
CCL4 0 -0.22752381792984 0 -0.281427359676776 -0.000612841392103732 0 0 0.0744193444771809 0
IGHV3-30 0 0 0 0.00194476147136223 0.047285417648744 0 0.00907602355728914 -0.0161750121261212 0
IGHV6-1 0 0 0 -0.031256606503283 0.24237938724035 -0.0157067509994507 -0.0336582744991012 0.0076195492268085 0
IGHA2 0.0452060363083857 0 0 0.0924995746335657 0.485648364751434 0 0 0 0
HSP90B1 0 0.148191059420895 0 0.0939642962982074 0 0 -0.0105794248925711 0.214004641622381 0
HBB 0 -0.033469765783391 0 -0.0310703460440331 0 0 0.000132488402383097 -0.0116722472705917 0
IGHG3 0 -0.070374523232159 0 -0.24301035476597 0.0157265695936406 -0.158133580777084 0 0 0
IGHG2 0 -0.175686835399844 0 -0.162901044823644 0.215469627153095 0 0 0.0294949867316738 0
IGHM 0 0.046005305264761 0 0.110297106685876 0.0947974667845123 0.0249054195133234 0 0 0
C1QB 0.0491633920203373 0.134910370175117 0.0269112574291352 0.0685745823743377 0.267938581115497 0.25894701396955 0 0.460926655974588 0.164097330819751
IGHV3-23 0 -0.00850595467191743 0.00240958032742754 0 0.0545634790646476 0.00148954917874969 0 0 0.00153597674634667
HBA2 0.00780772642928318 0 0 0.0575057757938425 0 0 0.0028768093244691 0 0
IGKV3-15 0 0 0 0 0.0116935878681318 -0.00159589960444196 0 0 0
HBA1 0.0121041252493213 0.0785066582884637 0.023898571236447 0.0184555947267701 0.000904990003713406 0.0166685339729114 0 0.00949468086662849 0.0136631758668594
C1QA 0 -0.0716202670241996 0 -0.109324824599633 -0.155603639419324 -0.363744488094496 0 0.047600017196809 0
IGHG4 0 0.759380022537263 0 1.09504726347938 0.329060019537721 0 -0.224707505577853 0 0
