0032-anti-human-CD154 0072-anti-human-CD4 0047-anti-human-CD56 0034-anti-human-CD3 0050-anti-human-CD19 0081-anti-human-CD14 0046-anti-human-CD8 0083-anti-human-CD16 0390-anti-human-CD127
(Intercept) 0.802006108565899 2.87461112095265 1.3495682270398 2.86128839378637 1.30483060080658 1.30043231497663 0.988842561113883 1.86889230131082 1.32811487829443
MTSS1L 3.33190694028463 0.213588260928742 5.64127577244856 1.12784647105502 3.82505327625204 5.22058853287762 4.49984481969565 3.53411367103742 2.24679290301096
NRAV 0 -0.263574366691954 0 -0.0325248115287411 0 0.149048250625416 0 0 0
SEMA5A 0 0.252768806145318 -0.403353438768893 -0.00297563691986461 0 0 0 0.378516399202456 0
OPHN1 -0.416330722575979 -0.298508673942764 0 -1.04909893518237 0 -0.2266455573049 0 0.127409020628425 0
LINC01151 0 0 0 0 -2.12416413384186 0 0 -1.08793354976234 0
EGF 0 7.44599710372524 0 1.88526462750566 5.84268574517925 0 0 8.20553379120094 0
XK 4.94621001908745 2.20795219986534 0.245484823125691 3.73080250418839 5.54089609146203 1.16367956210764 0 0.735771654975874 1.07267111524562
AP001189.3 0 7.60858254078442 0.401820791011957 3.75047859822376 2.58595140572592 10.2652705306762 0 6.70709139888158 4.24461087078969
MFSD2B 0 -9.76287496979938 0 -12.7368465425653 0 -1.56850114334437 0 -10.8404929088746 -2.22864485523154
DDO 0 0 0 2.58506693653576 0 2.02405423532477 0 8.82944488046368 0
CDCP1 0 -1.03990710459127 3.14358711474083 -2.2102517905876 0 0 0 -3.54492672264463 0
GFRA2 0 -2.05640190025863 -1.7809351695556 -1.58977745083008 -1.25812336813636 -1.65876499504995 0 -2.13458996018127 -0.120564198757692
MAPK12 -0.0723946819219249 0 -0.185644380237283 0.324965474599094 -0.0435909572112657 -0.0815625848120007 0 -0.21865793723138 0
SAMD13 0 0.085358277286825 0 0 0 0 0 0 0
CDH24 0 0.401327819715017 0 0.148956445199592 0 -0.0263460928119678 0 0.401909515585837 0.00744208227165068
PPP1R9A 0 -0.451091823037136 0.968425211304266 -0.535950725055815 0 -0.0517503373106994 0 -0.144427528852027 0
AMOTL1 0 0 0 -0.383087950253826 0 0 0 0.269370209932097 -0.218824804251558
AC132872.3 -4.79057077538207 -13.5207808908093 -6.9801360185637 -14.8214896776041 -8.63939251086552 -4.54733438166194 0 -4.16083786986935 -2.27137538330131
GRAMD1C 0 0 -0.0708717617373576 0.090788083248178 0.490435792520698 0.137355914251611 0 -0.356713320422835 0
AL035446.1 -14.5894108175482 -28.6842288979509 -19.796582654072 -50.111054350874 -33.8499141018268 -18.1308817865051 -3.51659838035931 -48.6948614583812 -19.3734057060569
KATNAL2 0 0 -2.68374962352592e-05 0.210984249259502 0.00374498163435092 0.387807958536172 -0.103100334913453 0.0923046333195278 -0.208346727885938
ARHGEF18 0 -0.227107825217938 -0.0953006744363257 0 -0.446652104822211 0 0 0 -0.154582580173465
CLDN5 0 0.444578719630972 0 0 -0.0690649932911513 0 0 0.301412022321247 0
PTPRB 0 0 0.281545613676081 -0.28912473836117 -0.128066799490628 0 -0.0113499402165981 0.167758094654288 -0.00696927840502609
AC004130.1 0 0 0 14.9274883011931 41.9056802080066 -13.0459861577977 0 44.8932846241821 0
AL133467.1 0 0 -0.827233634555446 -0.822903780822244 0.153831168813842 0 -0.0955042959589651 -2.5718832558572 0
TNFSF13 0 -0.226849154842681 -0.121883634389899 -0.577548659139307 0 -0.0790636565047623 0 0 0
MAP2 0 1.75220167673007 1.36996019490006 0 4.67173625368637 0 0 -1.00662499075799 0
SYT1 0 -5.74883926320424 0 -10.1238177807943 12.7521501233205 1.13439871648569 0 0 0
LTB 0 0.137620303656722 0.0283035569703494 0.226965895227313 0 0 0 0.104287830887178 0.0448578991095914
RPL39 0 0 0 0 0 0 0 0.0196230361647668 0
RPL32 0 0 0 0 0 0 0 0 0
RPLP2 0 0.0913359061782864 0.000383119705328541 0 0 0 0 0.0118995718017219 3.77809844732596e-05
RPL34 0 0 0 0 0 0 0 0 0
RPS6 0 0 0 0 0 0 0 0 0
TPT1 -0.000272678599746248 0 0 -0.33154772537054 -0.0903211247459337 -0.0569211048663557 0 -0.139684321585089 0
RPS27 0 0 0 0 0 0 0 0 0
RPS15A 0 0 0 0 0 0 0 4.20344006580455e-05 0
RPL10 0 0 0 0 0 0 0 0 0
RPL13A 0 0 0 0 0 0 0 0.171618921342973 0.00752162090145779
ACTB 0 0 0 0.114434466736188 0 0 0 -0.0687988583069363 0
RPL41 0 0 0 0 0 0 0 0 0
CD52 0 0 -0.0253807603472697 0.132849759336532 -0.0224970068599532 -0.00847184561060358 0 -0.32763465373935 0
MALAT1 0 0 0 -0.0779005562448345 0 0 -0.021238330823135 -0.119096303432871 0
CD8B 0 -0.36065202789318 -0.00897337024100272 -0.0577155150183378 0 0 0.282396508953794 0 0.00382279947401321
CD3D 0 0 0 0.0365246293337601 0 0 0.0335153103148093 -0.205691067906986 0
IL32 0 0 0 0.0783405511623387 0 0.0151034542313027 0 0.0884605891182331 0
TRBC2 0 0.325495379082412 0 0.233504979522475 0.290627540397056 0 0 0.227118110844895 0
CMC1 0 0.0780423766167826 0.0791095997406791 -0.0459741195637302 0 0 0 0.0115421517279813 0
CCL5 0.0124703533388204 0.121586362875065 0.0181295806257634 0.0724087551202397 0.0533475795715397 0.0325027515483307 0.0241454251981607 0.0895653151938228 0.021694996914779
TRAC 0 -0.0542874514313683 0 0.0356109648222772 -0.00303644658463325 0 0.114514391976787 0.0116534570905186 0
PPBP 0.061003077010184 0.000786249691357015 0 0.0172526304967658 0 0 0 -0.0714993144630917 0
NKG7 0 0 0.0838857186417577 0.202929751019169 0 6.03915441760393e-06 0.0190238812969551 0 0
HLA-B 0 0 -0.00758917977855081 0 -0.0231989925461402 0 0 0 0
KLRB1 0 -0.0323245240190023 0.0472434983377614 0 0 0 0 0.0554449975130415 0.0104813656534148
SH3BGRL3 0 -0.0374815001222573 -0.0286584014126937 -0.333250274402523 0 0 0 -0.199809221202435 0
PFN1 -0.0685644321086588 -0.0979687680896593 -0.143598466965285 0 -0.0893600966101482 -0.0848740226721841 -0.104672351036696 -0.106353829161158 -0.101574061343063
RPS19 0 0 0 0 0 0 0 0 0
RPS18 0 0.0117520424211383 0 0.124140364414932 0 0 0 0.0216331357263798 0
LYZ 0 0 0 0.158525617963078 0 0.0636758390727497 0 -0.0135040749215558 0
S100A12 0 0 0 -0.0187818589484222 0 -0.0106143139690997 0 0.108635167660114 0
AC020656.1 0 -0.14849322093069 0 -0.111770708928727 0 0 0 -0.108818401169515 0
S100A9 0 0 0 0 0 0.00226313543045554 0 -0.0412465126256407 0
CXCL8 0 0 0 0 0 0 0 0.231734793111003 0
NFKBIA 0 0.0576018772751339 0 -0.0966842387454271 0.114566976165731 0.0103581991222481 0 -0.353802387627401 0
S100A8 0 0.0186844530910411 0 0.0728835390081602 0 0.00569802346950508 0 0 0
CCL3L1 0.0750059765216129 0 0 0.162292368656657 0 0.096268361403522 0.112364676694375 0.0410208583711814 0.0467333404089412
CCL3 0 0.0174526024212031 0.012428950001422 -0.0677378573175303 0 0.0380126444170101 0 0.113787234751378 0
HLA-DRA 0 0 0 0.0310841015493782 0.148975062152049 0 0 0 0
CCL4L2 0 -0.102359469472435 0 -0.0476524864377523 0 0.0178310381329887 0 0.0548055841285731 0
HLA-DPB1 0 0 0 0 0 0.0151587624764252 0 0 0
IGHD 0 0 0 0 0.0704361503291803 0 0 0 0
TCL1A 0 -0.0484711666915728 -0.0023356180926095 -0.030937163146353 0 0 0 -0.0216932981787061 0
IGLC3 0 -0.122987592641978 -0.016735655521426 -0.112512298182243 0.0630755883065301 0 0 -0.121839703434774 -0.0322965597547363
IGLC2 0 0 -0.009478854606351 -0.00471632502330962 0.128702726472145 0 0 0 0
MS4A1 0 0 0 0.0648422742837346 0.0993366046104235 0 0 0.0849001702681746 0
IGHM 0 0.109499318822757 0 0.0997857947646779 0.0134305958246868 0 0 0 0
CD79A 0 0 0 0 0 0 0 0.072460333855707 0
CD79B 0 -0.028328377807247 0 -0.162739754178992 0.255058588163365 0 0 0.0691667703174273 0
CD37 0 -0.0188159931987583 0 -0.289078729508785 0 0 -0.0549581096783797 0 -0.0512715488684577
CXCR4 0 -0.147463852626886 0 0.00152372593387193 0 0 0.0671285172921318 0 0.0112999794765201
CD74 0 -0.0773118105735122 0.0267790229138933 -0.112774272980875 0.0301886306067177 0 0 0 0
BTG1 0 0.0303859369330827 0 0 0 0 0 0.423214288640826 0
IGKC 0 0.052179435049819 0 0.215780768819227 0.156479907883031 0.000830895300548262 0 -0.167417474581525 0
RPL18A 0 0 0 0 0 0 0 0 0
RPL10A 0 0 0 0 0 0 0 0 0
CLIC3 0 -0.156043502768707 0 -0.0951857358892494 -0.0271690662109869 0 0 0 0
GNLY 0 0.076522696857654 0.0601835885771832 0.00923364749884936 0.000589971390584108 0.00579276468825298 0 0.0836538610818172 0
SPON2 0 0 0.000198116435284888 -0.0381917663372877 0 0.00025389882258049 0 0.0833936227210746 0
PTGDS 0 -0.0100075791463612 0.0243280527401827 -0.0364380873722434 0 0 0 0.0350363623571563 0
