0032-anti-human-CD154 0072-anti-human-CD4 0047-anti-human-CD56 0034-anti-human-CD3 0050-anti-human-CD19 0081-anti-human-CD14 0046-anti-human-CD8 0083-anti-human-CD16 0390-anti-human-CD127
(Intercept) 0.670909933525772 2.13493609989566 0.50635415671863 2.36093694785927 1.51964813140297 0.818558222837045 0.996050780222481 1.08668146886968 1.30924049769623
LTB 6.77859824810008e-05 0.0885945695271098 0 0.175469607861961 0.0536163735194757 0 0.103659623310562 0.0687421020849985 0.0542031863807695
RPL11 0 0 0 0 0 0 0 0 0
RPL39 0 0 0 0 0 0 0 0 0
RPL36 0 -0.0590919555044145 0 0 0 0 0 0 0
RPS25 0 0 0 0 -0.00426525821217954 0 0 0 0
RPL32 0 0 0 0 0 0 0 0 0
RPL9 0 0 0 0 0 0 0 0 0
RPL38 0 0.884355603782271 0 0.00014224979671134 -0.0578753398249812 0 0 0 0
RPLP2 0 0 0 0.00236340873223191 0.00832829191628414 0 0 0.00531102579500276 0
RPL34 0 0 0 0 0 0 0 0 0
RPS6 0 0 0 0 0 0 0 0 0
RPS29 0 0 0 -0.0915266273540039 -0.00072042596523768 0 -0.0266963909450387 0 0
TPT1 -0.00265572357059294 0.104613820615783 -0.0066066631155986 0 0 0 -0.147353079913161 -0.116453998221757 0
RPL13 0 0 0 0 0 0 0 0 0
RPL36A 0 0 0 0.472887764449753 0.05426934406903 0 0.30061842329891 0 0
RPS8 0 -0.0462648077480639 0 0 0 0 0 0 0
RPL37 0 0 0 0 0 0 0 0 0
RPS27 0 0 0 0 0 0 0 0 0
RPS15A 0 0 0 0 0 0 0 0 0
RPS3A 0 0 0 0.0713531925411392 0 0 0 0 0
RPL7 0 0.375183998204084 0 0.0745417702153106 0.228543424629761 0 0 0 0
RPL10 0 0 0 0 0 0 0 0 0
RPL13A 0 0 0 0 -0.0456160027651217 0 0 0 0
RPS27A 0 0 0 0 0.260839393511891 0 0 0.000463415544702361 0
RPL21 0 0 0 0 -0.000100055756463799 0 0 0 0
ACTB 0 0.0439547114469338 0 0 0.00341457105589085 -0.00313196871801944 0 -0.00555641231329164 -0.0143567137191513
RPL41 0 0 0 0 -0.0203682279056091 0 0 0 0
RPLP1 0 0 0 0 2.52444178184501e-05 0 0 0 0
CD52 0 0 -0.0212636719256316 -0.0214327791104541 -0.0967643301399986 0 -0.061541225709082 -0.0984879551228487 0
MALAT1 -0.00872937887115858 -0.116024667814515 -0.00464035192085734 -0.081554560332315 -0.0557675539585069 -0.0130683639988466 0 0 -0.0298056114101999
CD8B 0 -0.447537439072439 -0.0112856614210678 -0.0660991790773396 -0.0113469084918389 0 0.40494462397419 0 0
CD8A 0 0.0648388832753439 0 0.0180917996042225 -0.0155788535513992 0 0.133735765468454 -0.000883812463017853 -0.00797851310146342
CD3D 0 -0.0500776790504988 0 -0.0808691028820843 0 0 0.105279916943854 0 0
IL32 0 0.0076800860993361 0 0.0580165304334418 0 0 0.0611710371561423 0.0337783200187411 0
TRGC2 0.00163534788037165 0.0474426658041337 0.0786942545435624 0.288861988196161 0.0100550880763682 0.0414276773722429 0.084508119041309 -0.0247174995727366 0
KLRG1 0 0 0 0.01247450058853 0.0193989677359321 0 0 -0.00759694715580142 0
GZMM 0 -0.065191915989006 0 0 0 0 0 0 0
TRBC2 0 0.153878561026434 0 0.238620009039565 0.0245229668374745 0 0 0.00612329797963042 0
CMC1 0 0.185495582252825 0 4.32259324910392e-05 -0.0134123395527449 0 -0.0903233706897122 0 0
CCL5 0.0094324079425723 0.0584421655597098 0 0.0288715497832322 0 0.0144022155497162 0 0 0.00531254886077078
GZMK 0 -0.0796432504630729 0.0264037633601242 -0.0300446830367668 -0.0271621341085549 0 0.0455589610781355 0 0
GZMH 0 0.000577692755127 -0.0453936416499826 0.0761488597838228 -0.0454902627127981 0 -0.002403793862563 -0.14337226234103 0
TRAC 0 0 0 0.102853000132208 0.122660812644764 0.0221306641969713 0.133333980481701 0 0
PPBP 0.00793482235193314 -6.68072297811729e-05 0 0 -0.0112403628794577 0 0 0 0
DUSP2 0 0 0 0.0379162807272274 0.0350881852815811 0 0.0561465486561231 0 0
CORO1A 0 0 -0.0318510926682979 0 -0.0525283645881632 -0.03364625805975 0 -0.110562202261324 -0.0143059305280207
HLA-A 0 -0.30927996761541 0 -0.222182531353337 -0.0341048576244973 0 0.191583414143808 0 0
SUB1 0 0.879027100765176 0 0.745134341370989 0.254939309280888 0 0 0.106002267730823 0
NKG7 0 -0.0224465655812646 0.0264741046744627 0.0593933455891386 0.00896148949325482 0 0.0604909695928129 0 0
RPS26 0 0.181108274993015 0 0.0578526009328273 0.0222278290443944 0 -0.0669307832802 0.0159090164230707 0.005928368844384
HLA-B 0 0.00951194619492033 0 0 0 0 0 0 0
KLRB1 0 -0.0324041644654476 0.0161099943600734 0.0099137873876633 0.00191288901379745 0 0.0129911442692268 0 0.0219384213287799
SH3BGRL3 0 0 0 0 0.244496775242961 0 0 0 0
PFN1 -0.00505061067807198 0.00742982785130464 0 0 0 -0.00829176514951015 0 -0.000167881544553934 -0.0617169800574759
RPS19 0 -0.0734004854551054 0 -0.0367649976516315 -0.0581927745634415 0 0 0 0
RPS2 0 0 0 0 0 0 0 0 0
RPS3 0 0 0 0.0645298058442004 0.238017590621274 0 0 0 0
RPS18 0 0 0 0 -0.000107920375607582 0 0 0 0
RPS12 0 0 0 0 0.0161092417284933 0 0 0 0
RPL28 0 0 0 0 0 0 0 0 0
LYZ 0 0 0 0.0323556769045019 0.048728988519031 0.013700852262158 0.0341939685189842 0 0
S100A12 0 0 0 0 0.00817094389206416 0 0 0 0
AC020656.1 0 0.0121886348744108 0 0 0.206471333767648 0 0 0 0
FOS 0 0 0.0028404020863464 -0.0238394607634165 0.00181897372732619 0 -0.0259326712661769 -0.0206625399730671 0.0229128721747279
IL1B 0 0 0 0 -0.360739881086579 0 -0.0561282956964067 -0.957378636001067 0
ZFP36 -0.00213373513629485 -0.132865308404981 0 -0.209771898197883 -0.0280648935403862 -0.00750487857463851 -0.0164338736228018 -0.101197292182272 -0.0515738786392693
