,CD8 T,CD4 T,Mem Treg,CD39 Mem Treg,Naive Treg,gdT,Naive B,Memory B,Plasmablast,NK,pDC,mDC,Monocyte,Eosinophil,Neutrophil,MAIT,CD16+ Basophil,CD16- Basophil
CD3,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
IgD,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0
CD20,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,0,0,0,0,0
CD4,-1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0
CD8a,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
CD11c,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0
CD16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1
CD14,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,0,-1,0,0,0
CD45RA,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD127,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CD24,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
TCRgd,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD123,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
CD56,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,1,0,0
CD25,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HLA-DR,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0
CD161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CD28,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD38,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CD27,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0
CD55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Siglec-8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
