,Classical monocytes,NC & IM monocytes,effector CD4+T cell,Memory CD4 T,Naive CD4 T,effector CD8+T cell,Memory CD8 T,Naive CD8 T,Tregs,Naive B,Plasma cells,Memory B,NK cell,Myeloid DC,Plasmacytoid DC
CD3,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
IgD,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0
CD20,-1,-1,0,0,0,0,0,0,0,1,-1,1,-1,-1,-1
CD4,0,0,1,1,1,-1,-1,-1,1,0,0,0,0,0,0
CD8a,0,0,-1,-1,-1,1,1,1,-1,0,0,0,0,0,0
CD11c,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1
CD16,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1
CD14,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
CD127,0,0,1,1,1,1,1,1,-1,0,0,0,0,0,0
CD33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CD24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
CD123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
CD56,-1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,-1
CD25,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0
HLA-DR,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
CD28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CD38,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CD27,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
CD45RA,0,0,1,-1,1,1,-1,1,0,0,0,0,0,0,0
