orig.ident	nCount_RNA	nFeature_RNA	nCount_ADT	nFeature_ADT	celltype
SeuratProject	3017.31000000015	16778	13965	10	CD8+T cell
SeuratProject	3049.65500000017	16778	5502	10	naïve B cells
SeuratProject	2864.51800000014	16778	15412	10	CD8+T cell
SeuratProject	2942.94200000017	16778	9568	10	CD4+T cell
SeuratProject	2827.24600000009	16778	12819	10	CD8+T cell
SeuratProject	3007.71200000021	16778	8673	10	CD4+T cell
SeuratProject	2820.83300000011	16778	10731	10	CD4+T cell
SeuratProject	2858.84900000009	16778	10287	10	NK cell
SeuratProject	3047.27800000019	16778	6843	10	classical monocytes
SeuratProject	2936.63200000009	16778	12201	10	CD4+T cell
SeuratProject	2854.47400000017	16778	7431	10	classical monocytes
SeuratProject	2887.08200000015	16778	11298	10	CD8+T cell
SeuratProject	2936.64400000016	16778	13463	10	CD8+T cell
SeuratProject	2852.20900000013	16778	9316	10	CD4+T cell
SeuratProject	2997.25600000018	16778	9381	10	CD4+T cell
SeuratProject	2861.68800000014	16778	8217	10	CD4+T cell
SeuratProject	2852.96900000015	16778	11647	10	CD8+T cell
SeuratProject	2964.19900000007	16778	6051	10	classical monocytes
SeuratProject	3004.75600000014	16778	10489	10	NK cell
SeuratProject	3064.26200000024	16778	7594	10	CD4+T cell
SeuratProject	3027.30500000014	16778	11682	10	NK cell
SeuratProject	2891.63200000014	16778	5429	10	classical monocytes
SeuratProject	3151.41400000024	16778	9594	10	CD4+T cell
SeuratProject	2930.89000000013	16778	13153	10	CD4+T cell
SeuratProject	2916.13200000016	16778	6432	10	CD4+T cell
SeuratProject	2893.11700000014	16778	7154	10	CD4+T cell
SeuratProject	2911.72900000019	16778	7967	10	CD4+T cell
SeuratProject	2938.58600000018	16778	11299	10	CD4+T cell
SeuratProject	3033.25700000016	16778	9412	10	CD8+T cell
SeuratProject	2897.20400000009	16778	8407	10	NK cell
SeuratProject	2909.52600000015	16778	7794	10	CD4+T cell
SeuratProject	2957.59100000018	16778	5165	10	classical monocytes
SeuratProject	2981.36400000013	16778	11503	10	CD8+T cell
SeuratProject	2980.09500000015	16778	11889	10	CD4+T cell
